from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ohgishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Bahrain,Guanabara
Kitimat,10405.000,3524.000,12251.000,12977.000,15030.000,6499.000,12199.000,7337.000,14040.000,12492.000,8504.000,10759.000,13958.000,5773.000,14039.000,14358.000,6982.000,12496.000,6440.000,12450.000,14998.000,6422.000,14941.000,5052.000,14026.000,13364.000,4162.000,8376.000,5680.000,11422.000,13890.000,717.000,15027.000,1576.000,14380.000,9216.000,9511.000,4928.000,7523.000,4753.000,12267.000,6988.000,6617.000,4293.000,14588.000,17118.000,14753.000,14314.000,8435.000,8962.000,14342.000,13566.000,14125.000,12850.000,13953.000,14968.000,10180.000,5209.000,4028.000,8417.000,13639.000,6419.000,14937.000,5644.000,13184.000,13212.000,4475.000,3693.000,5892.000,8434.000,14220.000,15984.000,4472.000,9429.000,4034.000,4337.000,3908.000,6454.000,14690.000,13784.000,12515.000,4786.000,3746.000,14838.000,10364.000,4814.000,6842.000,13540.000,6863.000,4548.000,8439.000,9752.000,9031.000,10769.000,4380.000,,15768.000,13704.000,12509.000,13649.000,3525.000,6236.000,14947.000,14666.000,4898.000,12579.000,14577.000,13834.000,6347.000,6293.000,2612.000,6982.000,13150.000,13174.000,5802.000,10727.000,4387.000,12424.000,8820.000,14457.000,11273.000,11722.000,9640.000,4494.000,4027.000,3994.000,4032.000,6452.000,3937.000,14330.000,8364.000,4036.000,4443.000,4779.000,13509.000,15970.000,5140.000,7451.000,10493.000,14811.000,11131.000,9458.000,14792.000,7518.000,12828.000,12913.000,13742.000,6036.000,13395.000,3534.000,243.000,12530.000,4797.000,9984.000,4879.000,5055.000,6095.000,6187.000,10498.000,12984.000,8985.000,1564.000,13833.000,15546.000,14860.000,14934.000,14044.000,14366.000,4321.000,4377.000,10348.000,13110.000,9402.000,14320.000,7176.000,4321.000,3823.000,4857.000,5679.000,4083.000,4037.000,13773.000,13717.000,4045.000,3832.000,14585.000,12153.000,6985.000,15576.000,5159.000,6323.000,6308.000,13319.000,15061.000,5101.000,4378.000,10505.000,4426.000,13704.000,12640.000,4044.000,16129.000,4292.000,15094.000,4458.000,4850.000,4165.000,5381.000,13544.000,14799.000,4925.000,10567.000,
Klaipeda,7333.000,12791.000,4405.000,4009.000,5809.000,11460.000,4687.000,9327.000,2622.000,4375.000,7578.000,5963.000,2883.000,11156.000,2621.000,1723.000,9658.000,5401.000,11128.000,5336.000,5772.000,10432.000,5688.000,12605.000,2609.000,4753.000,12597.000,9531.000,11248.000,7568.000,5477.000,15125.000,5790.000,14275.000,4135.000,7514.000,7462.000,12482.000,10986.000,12366.000,9535.000,11537.000,11253.000,12493.000,1468.000,2781.000,1069.000,4429.000,8844.000,7311.000,3685.000,3980.000,1720.000,4673.000,3061.000,5719.000,7093.000,11837.000,12711.000,9097.000,3389.000,13614.000,5684.000,11263.000,4636.000,4674.000,12288.000,13071.000,11168.000,9429.000,3330.000,1648.000,12442.000,7496.000,12717.000,12536.000,12808.000,10464.000,1448.000,2299.000,4180.000,12399.000,13078.000,1039.000,7292.000,12142.000,9846.000,2366.000,9805.000,12211.000,9066.000,7193.000,7657.000,7697.000,12349.000,15768.000,,4087.000,5543.000,4032.000,13147.000,11080.000,5698.000,1193.000,12348.000,4262.000,1534.000,3221.000,10512.000,11401.000,13320.000,10535.000,4131.000,3746.000,10592.000,7616.000,12459.000,9689.000,7179.000,1586.000,7426.000,8980.000,7269.000,12193.000,12732.000,12736.000,12680.000,12986.000,12784.000,3666.000,9333.000,12683.000,12343.000,11870.000,3892.000,320.000,11133.000,9988.000,7382.000,5473.000,4950.000,7366.000,5500.000,10962.000,4904.000,4597.000,5004.000,12547.000,3271.000,13243.000,15814.000,5476.000,12374.000,6849.000,12336.000,12570.000,11155.000,10004.000,7387.000,3862.000,6902.000,14307.000,3223.000,351.000,1000.000,5685.000,2749.000,3616.000,12481.000,12454.000,5508.000,2713.000,6529.000,4440.000,10330.000,12482.000,12889.000,12040.000,11217.000,12610.000,12742.000,2097.000,2956.000,12692.000,12871.000,1486.000,5831.000,9661.000,297.000,11742.000,9774.000,11768.000,3633.000,927.000,12616.000,12317.000,7394.000,12303.000,4088.000,4386.000,12805.000,480.000,12453.000,881.000,12370.000,11968.000,12567.000,11402.000,4524.000,1065.000,12108.000,7495.000,
Koper,4384.000,12544.000,1456.000,1029.000,6651.000,8511.000,1737.000,6377.000,1516.000,1415.000,7342.000,3013.000,1418.000,8207.000,1515.000,2658.000,6705.000,5130.000,8179.000,5065.000,6614.000,7483.000,6531.000,9656.000,1522.000,5309.000,9648.000,6582.000,8298.000,7297.000,6080.000,13977.000,6633.000,14027.000,5185.000,4565.000,4513.000,9532.000,8037.000,9417.000,9244.000,8584.000,8303.000,9544.000,2888.000,5517.000,3063.000,5446.000,5895.000,7075.000,4787.000,162.000,2424.000,5024.000,1413.000,6561.000,4143.000,8888.000,9762.000,6147.000,1101.000,10665.000,6526.000,8313.000,5134.000,5172.000,9339.000,10122.000,8219.000,6479.000,4437.000,4383.000,9493.000,4547.000,9767.000,9586.000,9859.000,7515.000,2984.000,1869.000,1240.000,9450.000,10129.000,3149.000,4342.000,9193.000,6897.000,1992.000,6856.000,9261.000,6117.000,4244.000,4708.000,4748.000,9400.000,13704.000,4087.000,,5247.000,139.000,10195.000,8127.000,6519.000,2982.000,9396.000,1284.000,2966.000,1263.000,7559.000,8448.000,13045.000,7583.000,1148.000,1021.000,10317.000,4664.000,9506.000,9370.000,6915.000,2760.000,7129.000,8667.000,4316.000,9240.000,9779.000,9783.000,9727.000,11274.000,9831.000,4744.000,6380.000,9730.000,9391.000,8918.000,,4286.000,10858.000,7036.000,4430.000,6293.000,4753.000,4413.000,6321.000,8009.000,5178.000,4951.000,5666.000,9594.000,838.000,10290.000,13485.000,5179.000,9421.000,3896.000,9383.000,9617.000,8203.000,9729.000,4435.000,880.000,6639.000,14032.000,1262.000,3862.000,3176.000,6506.000,1475.000,4696.000,9529.000,9501.000,5250.000,2454.000,6266.000,5427.000,7377.000,9529.000,9936.000,9088.000,8264.000,9657.000,9789.000,2033.000,1148.000,9740.000,9918.000,2888.000,5535.000,6709.000,3892.000,8789.000,9499.000,8815.000,560.000,3371.000,9663.000,9364.000,4441.000,9350.000,19.000,1408.000,9853.000,4445.000,9500.000,3410.000,9417.000,9015.000,9614.000,8449.000,1541.000,3116.000,9155.000,4545.000,
Kribi,8496.000,9532.000,5568.000,5171.000,6481.000,8648.000,5849.000,7498.000,3784.000,5537.000,4726.000,7125.000,4045.000,9307.000,3784.000,4113.000,7854.000,214.000,8446.000,230.000,6445.000,8604.000,6361.000,10777.000,3771.000,4806.000,10769.000,7919.000,9419.000,2776.000,5428.000,11866.000,6463.000,11016.000,5390.000,7330.000,7625.000,10653.000,7524.000,10538.000,4743.000,8487.000,8337.000,10665.000,4343.000,6940.000,4518.000,5500.000,7233.000,4505.000,5187.000,5142.000,3879.000,4306.000,4223.000,6392.000,8255.000,10009.000,10883.000,7485.000,4551.000,9563.000,6357.000,9434.000,4601.000,4637.000,10460.000,11243.000,9340.000,7817.000,4905.000,5806.000,10614.000,7543.000,10888.000,10707.000,10980.000,8636.000,4439.000,3529.000,5342.000,10571.000,11250.000,4604.000,8454.000,10314.000,8018.000,3285.000,7977.000,10382.000,7454.000,7853.000,7157.000,8860.000,10521.000,12509.000,5543.000,5247.000,,5210.000,11343.000,8757.000,6366.000,4434.000,10544.000,5440.000,4394.000,4399.000,8698.000,8661.000,10052.000,8731.000,5309.000,4924.000,7324.000,8794.000,10654.000,4890.000,4364.000,4212.000,2627.000,4181.000,7733.000,10389.000,10927.000,10931.000,10875.000,9512.000,10979.000,5176.000,7743.000,10879.000,10539.000,10066.000,5070.000,5738.000,7865.000,7468.000,8560.000,6141.000,2955.000,7562.000,6169.000,7521.000,4366.000,4323.000,5238.000,9524.000,4449.000,11439.000,12546.000,,10570.000,8027.000,10531.000,10766.000,9351.000,6736.000,8565.000,5040.000,4138.000,11039.000,4400.000,5314.000,4628.000,6354.000,3927.000,5126.000,10677.000,10650.000,3058.000,2867.000,3823.000,5506.000,7799.000,10678.000,11084.000,10236.000,9412.000,10805.000,10938.000,3520.000,4133.000,10888.000,11067.000,4340.000,657.000,7857.000,5344.000,9938.000,6506.000,9028.000,4811.000,4827.000,10812.000,10513.000,8572.000,10499.000,5266.000,5564.000,11001.000,5897.000,10648.000,4862.000,10566.000,10164.000,10762.000,9597.000,5702.000,4568.000,10303.000,8657.000,
Krk Island,4329.000,12489.000,1401.000,974.000,6596.000,8456.000,1682.000,6322.000,1461.000,1360.000,7287.000,2958.000,1363.000,8152.000,1460.000,2603.000,6663.000,5075.000,8124.000,5010.000,6559.000,7428.000,6476.000,9601.000,1467.000,5254.000,9593.000,6527.000,8243.000,7242.000,6025.000,13922.000,6578.000,13972.000,5130.000,4510.000,4458.000,9477.000,7982.000,9362.000,9189.000,8542.000,8248.000,9489.000,2833.000,5462.000,3008.000,5391.000,5840.000,7020.000,4731.000,133.000,2369.000,4969.000,1358.000,6506.000,4088.000,8833.000,9707.000,6092.000,1046.000,10610.000,6471.000,8258.000,5079.000,5117.000,9284.000,10067.000,8164.000,6424.000,4382.000,4328.000,9438.000,4492.000,9712.000,9531.000,9804.000,7460.000,2929.000,1814.000,1185.000,9395.000,10074.000,3094.000,4287.000,9138.000,6842.000,1937.000,6801.000,9206.000,6062.000,4189.000,4653.000,4693.000,9345.000,13649.000,4032.000,139.000,5210.000,,10153.000,8085.000,6477.000,2940.000,9354.000,1242.000,2924.000,1221.000,7517.000,8406.000,13003.000,7541.000,1106.000,979.000,10275.000,4622.000,9464.000,9328.000,6873.000,2718.000,7087.000,8625.000,4274.000,9198.000,9737.000,9741.000,9685.000,11232.000,9789.000,4703.000,6338.000,9688.000,9349.000,8876.000,226.000,4244.000,10816.000,6994.000,4388.000,6251.000,4711.000,4371.000,6279.000,7967.000,5136.000,4909.000,5624.000,9552.000,796.000,10248.000,13443.000,5137.000,9379.000,3854.000,9341.000,9575.000,8161.000,9687.000,4393.000,838.000,6597.000,13990.000,1220.000,3820.000,3134.000,6464.000,1433.000,4654.000,9487.000,9459.000,5208.000,2412.000,6224.000,5386.000,7335.000,9487.000,9894.000,9046.000,8222.000,9615.000,9747.000,1991.000,1106.000,9698.000,9876.000,2846.000,5493.000,6667.000,3850.000,8747.000,9457.000,8773.000,518.000,3316.000,9621.000,9322.000,4399.000,9308.000,155.000,1366.000,9811.000,4403.000,9458.000,3368.000,9375.000,8973.000,9572.000,8407.000,1499.000,3074.000,9113.000,4490.000,
Kushiro,6929.000,6467.000,8775.000,9501.000,15711.000,3211.000,8723.000,3861.000,10576.000,9015.000,10525.000,7283.000,10482.000,2315.000,10575.000,11718.000,3506.000,11424.000,3075.000,11410.000,15674.000,2934.000,15590.000,1556.000,10582.000,14369.000,728.000,4900.000,2184.000,8605.000,15140.000,3819.000,15692.000,4531.000,14245.000,5740.000,6035.000,1433.000,4236.000,1258.000,8791.000,3701.000,3330.000,797.000,11948.000,14576.000,12123.000,14505.000,4959.000,10983.000,13846.000,10090.000,11484.000,14084.000,10477.000,15621.000,6703.000,1713.000,594.000,4941.000,10163.000,4193.000,15586.000,,14194.000,14232.000,980.000,,2397.000,4958.000,13497.000,13443.000,1006.000,5953.000,600.000,903.000,,2966.000,12044.000,10929.000,9039.000,1291.000,430.000,12209.000,6888.000,1318.000,3366.000,11052.000,3387.000,1114.000,4963.000,6276.000,5554.000,7293.000,885.000,3525.000,13147.000,10195.000,11343.000,10153.000,,2829.000,15612.000,12075.000,1403.000,9103.000,12059.000,10358.000,2888.000,2975.000,5555.000,3494.000,9674.000,9698.000,8745.000,7251.000,953.000,8948.000,10841.000,11853.000,8793.000,8246.000,6164.000,999.000,531.000,498.000,598.000,5241.000,441.000,13837.000,4888.000,602.000,961.000,1345.000,10033.000,13379.000,8083.000,3979.000,7017.000,15386.000,12686.000,5982.000,15414.000,4231.000,14270.000,14043.000,14759.000,3676.000,9919.000,408.000,3340.000,11406.000,1302.000,6508.000,1383.000,1559.000,2600.000,9130.000,7022.000,9508.000,11006.000,4519.000,10357.000,12955.000,12269.000,15599.000,10568.000,13789.000,887.000,943.000,12330.000,11547.000,11423.000,14520.000,3811.000,887.000,,1362.000,2184.000,649.000,542.000,11126.000,10241.000,611.000,,11981.000,10811.000,3509.000,12985.000,1664.000,9220.000,3113.000,9843.000,12431.000,1605.000,883.000,7029.000,931.000,10228.000,9164.000,636.000,13538.000,858.000,12503.000,962.000,1355.000,731.000,1886.000,10068.000,12208.000,1429.000,7091.000,
Lahad Datu,4862.000,,6708.000,7434.000,13644.000,1202.000,6656.000,1794.000,8508.000,6948.000,10068.000,5216.000,8415.000,,8508.000,9650.000,1438.000,8838.000,430.000,8824.000,13607.000,1083.000,13523.000,2327.000,8515.000,12302.000,2240.000,2833.000,1280.000,6045.000,12853.000,6512.000,13625.000,7052.000,12178.000,3673.000,3968.000,2204.000,1637.000,2088.000,6354.000,1635.000,1155.000,2207.000,9881.000,12509.000,10056.000,12438.000,2892.000,10138.000,11779.000,8023.000,9417.000,11812.000,8410.000,13554.000,4636.000,1560.000,2321.000,2874.000,8096.000,3284.000,13519.000,1261.000,12127.000,12165.000,2002.000,2681.000,1347.000,2891.000,11430.000,11376.000,2135.000,3886.000,2327.000,2203.000,2418.000,1115.000,9977.000,8862.000,6972.000,2121.000,2791.000,10141.000,4821.000,1864.000,1298.000,8984.000,1319.000,1922.000,2896.000,4208.000,3487.000,5226.000,2062.000,6236.000,11080.000,8127.000,8757.000,8085.000,2829.000,,13544.000,10007.000,2101.000,7035.000,9991.000,8290.000,663.000,966.000,,1544.000,7607.000,7630.000,9944.000,5184.000,2182.000,6504.000,9996.000,9786.000,6213.000,5802.000,4097.000,1937.000,2475.000,2479.000,2320.000,4429.000,2527.000,11770.000,2820.000,2323.000,2067.000,1595.000,7965.000,11311.000,9902.000,1471.000,4950.000,13319.000,10094.000,3915.000,13346.000,1634.000,11791.000,11876.000,12691.000,2460.000,7851.000,2986.000,6038.000,8814.000,2126.000,4440.000,2088.000,2322.000,1550.000,,4955.000,7440.000,9863.000,7039.000,8289.000,10887.000,10202.000,13531.000,8501.000,11722.000,2180.000,2177.000,9738.000,9479.000,9846.000,12453.000,1166.000,2180.000,2529.000,1792.000,1279.000,,2485.000,9058.000,8174.000,2332.000,2511.000,9914.000,8219.000,1442.000,10918.000,1494.000,,1238.000,7775.000,10364.000,2368.000,2060.000,4961.000,2047.000,8161.000,7096.000,2549.000,11471.000,2151.000,10435.000,2093.000,1720.000,2240.000,1191.000,8000.000,10141.000,1860.000,5023.000,
Lake Charles,9768.000,11970.000,6840.000,6443.000,551.000,13801.000,7121.000,11761.000,5056.000,6810.000,6754.000,8397.000,5317.000,13591.000,5056.000,4804.000,12106.000,6231.000,13563.000,6166.000,386.000,12867.000,6.000,15039.000,5043.000,1657.000,15032.000,11966.000,13682.000,7929.000,1563.000,14303.000,282.000,13453.000,1807.000,9949.000,9897.000,14916.000,12677.000,14800.000,9896.000,13640.000,13490.000,14928.000,4660.000,6584.000,4967.000,1360.000,11279.000,6487.000,2178.000,6414.000,4579.000,2154.000,5495.000,155.000,9527.000,14272.000,15145.000,11531.000,5823.000,13587.000,71.000,13697.000,1842.000,1808.000,14723.000,15505.000,13603.000,11863.000,2363.000,5454.000,14877.000,9931.000,15151.000,14970.000,15243.000,12899.000,4719.000,4733.000,6614.000,14834.000,15512.000,5053.000,9726.000,14577.000,12281.000,4669.000,12240.000,14645.000,11501.000,9628.000,10092.000,10132.000,14783.000,14947.000,5698.000,6519.000,6366.000,6477.000,15612.000,13544.000,12.000,4871.000,14797.000,6710.000,4507.000,5670.000,12961.000,13814.000,12489.000,12984.000,6579.000,6194.000,9762.000,10065.000,14907.000,10043.000,6346.000,4803.000,7780.000,9334.000,9718.000,14641.000,15180.000,15184.000,15128.000,12156.000,15232.000,2165.000,11781.000,15132.000,14792.000,14319.000,6341.000,5895.000,10303.000,12437.000,9831.000,484.000,3851.000,9814.000,397.000,12674.000,2251.000,2125.000,1261.000,14394.000,5720.000,15692.000,14983.000,6299.000,14822.000,9298.000,14784.000,15019.000,13604.000,9174.000,9836.000,6311.000,6069.000,13477.000,5671.000,5472.000,5066.000,67.000,5198.000,2329.000,14930.000,14903.000,4674.000,4418.000,5697.000,1366.000,12778.000,14931.000,15337.000,14489.000,13665.000,15058.000,15191.000,4606.000,5404.000,15141.000,15320.000,4656.000,6655.000,12110.000,5502.000,14190.000,8944.000,14181.000,6081.000,5084.000,15065.000,14765.000,9842.000,14752.000,6536.000,6835.000,15254.000,6055.000,14901.000,5289.000,14819.000,14416.000,15015.000,13850.000,6973.000,5005.000,14556.000,9929.000,
Le Havre,6231.000,11689.000,3303.000,2906.000,4986.000,10358.000,3585.000,8225.000,1520.000,3273.000,6475.000,4861.000,1781.000,10054.000,1519.000,621.000,8534.000,4299.000,10026.000,4234.000,4950.000,9330.000,4866.000,11503.000,1507.000,3854.000,11495.000,8429.000,10145.000,6466.000,4626.000,14023.000,4968.000,13173.000,3398.000,6412.000,6360.000,11380.000,9884.000,11264.000,8433.000,10413.000,10150.000,11391.000,365.000,2718.000,169.000,3692.000,7742.000,6209.000,2947.000,2877.000,618.000,3690.000,1958.000,4897.000,5991.000,10735.000,11609.000,7995.000,2287.000,12512.000,4862.000,10161.000,3715.000,3752.000,11186.000,11969.000,10066.000,8326.000,2593.000,1585.000,11340.000,6394.000,11614.000,11433.000,11706.000,9362.000,467.000,1196.000,3078.000,11297.000,11976.000,255.000,6190.000,11040.000,8744.000,1263.000,8703.000,11108.000,7964.000,6091.000,6555.000,6595.000,11247.000,14666.000,1193.000,2982.000,4434.000,2940.000,12075.000,10007.000,4871.000,,11225.000,3138.000,593.000,2098.000,9388.000,10277.000,12196.000,9412.000,3007.000,2622.000,9468.000,6493.000,11335.000,8565.000,6055.000,463.000,6302.000,7856.000,6145.000,11069.000,11608.000,11612.000,11556.000,11862.000,11660.000,2920.000,8209.000,11559.000,11219.000,10746.000,2768.000,1394.000,10009.000,8865.000,6258.000,4643.000,3826.000,6242.000,4670.000,9838.000,3906.000,3614.000,4154.000,11423.000,2147.000,12119.000,14690.000,4352.000,11250.000,5725.000,11212.000,11446.000,10031.000,8880.000,6263.000,2738.000,5778.000,13184.000,2099.000,970.000,284.000,4855.000,1625.000,2871.000,11357.000,11330.000,4384.000,1589.000,5406.000,3695.000,9206.000,11358.000,11765.000,10916.000,10093.000,11486.000,11618.000,973.000,1832.000,11568.000,11747.000,363.000,4707.000,8537.000,1000.000,10618.000,8650.000,10644.000,2509.000,477.000,11492.000,11193.000,6270.000,11179.000,2964.000,3262.000,11681.000,1553.000,11329.000,518.000,11246.000,10844.000,11443.000,10278.000,3400.000,224.000,10984.000,6393.000,
Lianyungang,6130.000,7836.000,7977.000,8702.000,14912.000,2736.000,7924.000,3062.000,9777.000,8217.000,11051.000,6484.000,9683.000,1525.000,9776.000,10919.000,2707.000,10625.000,2422.000,10611.000,14875.000,2135.000,14792.000,495.000,9783.000,13570.000,1026.000,4101.000,1386.000,7806.000,14342.000,5191.000,14894.000,5902.000,13446.000,4941.000,5237.000,371.000,3628.000,361.000,7992.000,3226.000,2854.000,706.000,11149.000,13778.000,11324.000,13707.000,4161.000,11509.000,13048.000,9291.000,10685.000,13286.000,9678.000,14823.000,5905.000,870.000,1141.000,4142.000,9364.000,4344.000,14787.000,,13396.000,13433.000,491.000,1300.000,1598.000,4159.000,12699.000,12644.000,714.000,5154.000,1147.000,818.000,1251.000,2168.000,11245.000,10131.000,8240.000,,1321.000,11410.000,6089.000,377.000,2567.000,10253.000,2588.000,660.000,4165.000,5477.000,4756.000,6494.000,592.000,4898.000,12348.000,9396.000,10544.000,9354.000,1403.000,2101.000,14797.000,11225.000,,8304.000,11260.000,9559.000,2098.000,2500.000,6923.000,2696.000,8876.000,8899.000,10098.000,6453.000,763.000,8150.000,11367.000,11055.000,7995.000,7447.000,5365.000,568.000,996.000,1000.000,1136.000,,1045.000,13039.000,4089.000,1140.000,667.000,763.000,9234.000,12580.000,9451.000,3180.000,6219.000,14588.000,11887.000,5184.000,14615.000,3625.000,13472.000,13245.000,13960.000,3801.000,9120.000,1486.000,4711.000,10607.000,392.000,5709.000,149.000,,1801.000,10316.000,6223.000,8709.000,11532.000,5888.000,9558.000,12156.000,11471.000,14800.000,9769.000,12990.000,840.000,758.000,11531.000,10748.000,11640.000,13722.000,3057.000,840.000,1359.000,462.000,1385.000,1069.000,1007.000,10327.000,9443.000,1149.000,1341.000,11182.000,10012.000,2710.000,12186.000,828.000,10242.000,2760.000,9044.000,11632.000,536.000,588.000,6230.000,544.000,9429.000,8365.000,1047.000,12739.000,854.000,11704.000,668.000,,1022.000,1087.000,9269.000,11410.000,530.000,6292.000,
Limassol,3259.000,12718.000,331.000,562.000,6825.000,7386.000,612.000,5252.000,1690.000,203.000,7516.000,1888.000,1593.000,7082.000,1689.000,2832.000,5595.000,5305.000,7054.000,5239.000,6789.000,6358.000,6705.000,8530.000,1697.000,5483.000,8523.000,5457.000,7173.000,7471.000,6255.000,12852.000,6807.000,13537.000,5360.000,3440.000,3388.000,8407.000,6912.000,8292.000,8119.000,7473.000,7178.000,8419.000,3062.000,5691.000,3237.000,5620.000,4770.000,7249.000,4961.000,1179.000,2598.000,5199.000,1588.000,6736.000,3018.000,7763.000,8637.000,5022.000,1277.000,9540.000,6701.000,7188.000,5309.000,5347.000,8214.000,8997.000,7094.000,5354.000,4612.000,4557.000,8368.000,3422.000,8642.000,8461.000,8734.000,6390.000,3158.000,2044.000,266.000,8325.000,9004.000,3323.000,3217.000,8068.000,5772.000,2166.000,5731.000,8136.000,4992.000,3119.000,3583.000,3623.000,8275.000,12579.000,4262.000,1284.000,5440.000,1242.000,9103.000,7035.000,6710.000,3138.000,8304.000,,3155.000,1454.000,6449.000,7338.000,13234.000,6472.000,717.000,830.000,10506.000,3553.000,8395.000,8259.000,7104.000,2949.000,7318.000,7557.000,3206.000,8130.000,8668.000,8672.000,8616.000,10164.000,8721.000,4933.000,5269.000,8620.000,8280.000,7807.000,1102.000,4475.000,11047.000,5925.000,3319.000,6482.000,4942.000,3302.000,6510.000,6898.000,5367.000,5140.000,5855.000,8483.000,1015.000,9180.000,12375.000,5368.000,8311.000,2786.000,8272.000,8507.000,7092.000,9918.000,3324.000,550.000,6828.000,13505.000,1453.000,4051.000,3365.000,6695.000,1664.000,4885.000,8418.000,8391.000,5439.000,2643.000,6455.000,5616.000,6267.000,8419.000,8825.000,7977.000,7153.000,8546.000,8679.000,2222.000,1337.000,8629.000,8808.000,3077.000,5724.000,5598.000,4081.000,7679.000,9688.000,7705.000,912.000,3546.000,8553.000,8254.000,3331.000,8240.000,1298.000,142.000,8742.000,4634.000,8389.000,3599.000,8307.000,7905.000,8503.000,7338.000,1110.000,3304.000,8044.000,3420.000,
Limerick,6215.000,11600.000,3287.000,2890.000,4622.000,10341.000,3568.000,8208.000,1503.000,3257.000,6383.000,4844.000,1764.000,10038.000,1503.000,711.000,8541.000,4259.000,10010.000,4193.000,4585.000,9314.000,4502.000,11486.000,1490.000,3545.000,11479.000,8413.000,10129.000,6426.000,4306.000,13934.000,4604.000,13084.000,3028.000,6396.000,6344.000,11363.000,9868.000,11247.000,8393.000,10420.000,10134.000,11375.000,352.000,2681.000,692.000,3322.000,7726.000,6116.000,2577.000,2861.000,638.000,,1942.000,4533.000,5974.000,10719.000,11592.000,7978.000,2270.000,12496.000,4497.000,10144.000,3420.000,3458.000,11170.000,11953.000,10050.000,8310.000,2223.000,1547.000,11324.000,6378.000,11598.000,11417.000,11690.000,9346.000,411.000,1180.000,3061.000,11281.000,11959.000,778.000,6173.000,11024.000,8728.000,1247.000,8687.000,11092.000,7948.000,6075.000,6539.000,6579.000,11230.000,14577.000,1534.000,2966.000,4394.000,2924.000,12059.000,9991.000,4507.000,593.000,11260.000,3155.000,,2105.000,9395.000,10284.000,12120.000,9419.000,3014.000,2629.000,9392.000,6500.000,11342.000,8540.000,5975.000,585.000,6277.000,7831.000,6152.000,11076.000,11615.000,11619.000,11563.000,11786.000,11667.000,2553.000,8216.000,11566.000,11227.000,10754.000,2776.000,1731.000,9933.000,8872.000,6266.000,4282.000,3718.000,6249.000,4309.000,9845.000,3640.000,,3828.000,11430.000,2155.000,12126.000,14614.000,4327.000,11257.000,5732.000,11219.000,11453.000,10039.000,8804.000,6271.000,2746.000,5699.000,13107.000,2106.000,1307.000,792.000,4494.000,1633.000,2504.000,11365.000,11338.000,4303.000,1563.000,5326.000,3328.000,9213.000,11365.000,11772.000,10924.000,10100.000,11493.000,11625.000,980.000,1839.000,11576.000,11754.000,346.000,4682.000,8545.000,1337.000,10625.000,8574.000,10651.000,2516.000,920.000,11499.000,11200.000,6277.000,11186.000,2971.000,3269.000,11689.000,1890.000,11336.000,1025.000,11253.000,10851.000,11450.000,10285.000,3407.000,731.000,10991.000,6376.000,
