from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bahrain,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guanabara,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang
Manzanillo,12365,932,14211,12969,12572,7967,14159,9297,11582,13336,6047,12526,12719,11843,7726,11582,11901,8933,10038,8126,9992,12541,8375,12484,7078,11569,10907,6131,10336,7648,8965,11433,1968,12570,1105,11923,11176,11471,6955,8831,6780,10821,8010,8085,6320,12131,14661,12295,11857,10395,6505,11885,12940,11667,10392,12021,12511,12139,7221,6001,10377,12349,6666,12480,7043,7613,10727,10755,6502,5723,7858,10394,11763,13527,6441,11389,6006,6306,5875,8407,12232,11327,13140,6813,5798,12381,12324,6841,8801,11083,8822,6517,10399,11711,10990,12729,6407,2612,13320,13045,10052,13003,5555,7959,12489,12196,6923,13234,12120,12198,8242,7916,,8935,13106,12722,3222,12687,6356,10971,6363,12000,8816,10262,11600,6520,6053,6020,6002,5947,5963,11873,10324,6005,6412,6746,12868,13512,2557,9109,12453,12353,8673,11418,12334,8825,10371,10456,11284,6773,12247,5585,2648,10073,6824,11943,6905,7081,8061,3638,12458,12838,6527,1129,12198,13088,12403,12476,11725,11909,6290,6346,7891,10652,6945,11862,8804,6290,5810,6884,7648,6052,6063,11316,11931,6015,5819,12127,9695,8945,13119,7164,3789,7776,12609,12604,7127,6404,12464,6452,13063,13362,6094,13672,6261,12636,6439,6877,6134,7350,13500,12342,6951
Map Ta Phut,4317,9847,6164,13158,13967,2374,6111,1249,11771,13525,10086,4479,4671,12032,1485,11771,12100,886,8812,1865,8798,13935,725,13879,2922,11758,12301,2925,2288,1560,5993,12827,7255,13964,7935,13251,3128,3424,2799,2367,2683,6179,2612,2179,2810,12330,14927,12506,13242,2348,10075,13122,13129,11867,11787,12210,13905,4092,2155,3040,2329,12539,4565,13874,9638,1575,12121,12149,2606,3392,1481,2346,12882,13793,2759,3341,3046,2859,3137,758,12427,11516,13330,2716,3395,12591,4276,2459,754,11272,775,2528,2352,3664,2943,4681,2666,6982,13530,13234,8731,13192,3494,1544,13884,12406,2696,13423,12381,12387,1024,2265,8935,,13302,12917,11225,4640,2806,6337,9940,12206,6182,5634,3552,2540,3079,3083,3039,5710,3131,13117,2276,3042,2690,2228,13063,13731,11183,1472,4406,13754,10074,3371,13735,2364,11771,11856,12685,3525,12442,3590,6797,8794,2721,3896,2683,2917,1498,10847,4410,13033,9843,7923,12393,13307,12621,13877,11920,13092,2838,2801,9718,10860,9827,13254,1350,2839,3248,2387,1559,2968,3089,11513,12127,3051,3230,12333,8199,897,13337,2089,10658,2537,12804,12814,2963,2664,4417,2650,13259,13557,3152,13890,2809,12855,2717,2315,2924,1748,13695,12561,2455
Marmara Ereglisi,13069,12587,14916,243,6694,13213,14863,12063,1559,845,7385,13231,13423,1465,13871,1558,2701,12421,5173,13011,5108,6658,13168,6574,15341,1566,5352,15333,12484,13984,7340,6124,14921,6676,14071,5229,11895,12190,15218,12089,15102,9308,13050,12902,15229,2931,5560,3106,5489,11797,7118,4830,1043,2467,5068,1461,6605,12844,14574,15447,12049,1146,14128,6570,5965,13999,5178,5216,15025,15807,13904,12381,4481,4426,15178,12107,15453,15272,15544,13201,3027,1913,720,15135,15814,3192,13028,14878,12583,2035,12542,14947,12019,12418,11722,13434,15085,15564,4131,1148,5309,1106,15913,13321,6579,3007,15115,717,3014,1323,13258,13226,13106,13302,,809,10377,13382,15216,9452,6974,2820,7189,8743,12295,14951,15489,15493,15437,12771,15542,4804,12306,15441,15101,14628,969,4345,10918,12030,13148,6353,4813,12124,6380,12083,5237,5010,5725,14086,885,16001,15598,5239,15132,12636,15093,15328,13913,9788,13153,347,6698,14092,1324,3922,3236,6565,1535,4756,15239,15212,5309,2513,6326,5487,12361,15240,15646,14798,13974,15367,15500,2092,1208,15450,15629,2948,5594,12419,3952,14500,9559,13591,779,3415,15374,15075,13159,15061,1165,843,15563,4505,15210,3469,15128,14726,15324,14159,417,3175,14865
Marsa el Brega,12685,12202,14531,674,6309,12828,14478,11678,1174,904,7000,12846,13039,1077,13486,1173,2316,12036,4789,12626,4723,6273,12784,6189,14956,1181,4968,14949,12099,13599,6956,5739,14536,6291,13686,4844,11510,11805,14833,11704,14717,8923,12663,12517,14845,2546,5175,2721,5104,11412,6733,4445,916,2083,4683,1072,6220,12459,14189,15062,11665,774,13743,6185,5597,13614,4793,4831,14640,15422,13520,11996,4096,4042,14794,11722,15068,14887,15160,12816,2642,1528,693,14751,15429,2807,12643,14493,12198,1650,12157,14562,11634,12033,11337,13049,14700,15179,3746,1021,4924,979,15528,12937,6194,2622,14730,830,2629,950,12873,12841,12722,12917,809,,9990,12995,14830,9065,6587,2433,6802,8356,11909,14564,15102,15106,15051,12384,15155,4417,11919,15054,14714,14241,840,3959,10531,11643,12761,5966,4426,11737,5993,11696,4850,4623,5338,13699,517,15614,15211,4852,14745,12249,14706,14941,13526,9402,12766,539,6311,13705,950,3535,2849,6178,1148,4369,14852,14825,4922,2126,5939,5100,11974,14853,15259,14411,13587,14981,15113,1705,821,15063,15242,2561,5207,12032,3565,14113,9172,13204,616,3030,14987,14688,12772,14674,1036,954,15176,4118,14823,3082,14741,14339,14937,13773,1200,2788,14478
Mejillones,11705,2484,13551,10241,9845,9157,13498,10620,8855,10608,3319,11866,12059,9116,10196,8854,9174,10872,7311,10029,7265,9813,10763,9757,10254,8842,8179,9275,11118,10603,6237,8705,5159,9842,4296,9195,10530,10825,10130,9220,9955,8093,9101,9199,9495,9404,11933,9568,9129,10432,3778,9157,10212,8940,7665,9293,9783,11479,10320,9145,10684,9622,7172,9752,4292,10568,7999,8027,9677,8913,10786,11016,9035,10799,9573,10743,9151,9438,9065,10796,9505,8599,10413,9988,8988,9653,11663,10016,10740,8355,10761,9639,10653,11053,10357,12069,9582,5802,10592,10317,7324,10275,8745,9944,9762,9468,10098,10506,9392,9470,10343,9552,3222,11225,10377,9990,,12018,9488,8243,3635,9272,6088,7534,10935,9745,9229,9196,9192,5741,9139,9146,10944,9196,9543,9810,10141,10785,701,10025,11784,9626,5946,10764,9607,9217,7643,7728,8557,7904,9519,8775,5839,7346,9999,11275,10081,10257,10989,624,11789,10111,3800,4319,9471,10361,9675,9749,8998,9181,9421,9478,5163,7925,4217,9135,10177,9422,9001,10059,10603,9242,9239,8588,9204,9205,9010,9400,6968,10883,10391,10255,857,9515,9881,9876,10303,9580,11796,9628,10336,10634,9285,10944,9392,9909,9570,10052,9324,10303,10772,9615,10127
Mina Al-Ahmadi,462,13599,3245,13247,14056,5534,3192,3401,11860,13613,10174,287,1752,12121,5230,11860,12189,3759,8900,5203,8886,14024,4506,13967,6679,11847,12390,6671,3605,5322,6082,12916,11000,14053,11685,13339,1588,1517,6556,5060,6440,6268,5628,5327,6567,12419,15015,12594,13331,2919,10164,13210,13218,11955,11875,12299,13994,605,5912,6785,3171,12627,7688,13963,8399,5337,12210,12238,6362,7145,5242,3503,12970,13882,6516,1551,6791,6610,6882,4539,12515,11605,13418,6473,7152,12680,459,6216,3921,11360,3880,6285,3140,1117,1732,176,6423,10727,13618,13322,8820,13280,7251,5184,13972,12495,6453,13511,12470,12476,4616,5496,12687,4640,13382,12995,12018,,6550,6414,10018,12283,6259,5712,1302,6285,6823,6827,6771,8319,6875,13194,3424,6775,6435,5962,13141,13809,12556,4080,266,13832,10152,1436,13812,5053,11849,11934,12763,6638,12520,7335,10530,8872,6466,794,6427,6662,5247,11426,360,13111,9921,11660,12471,13385,12699,13955,11998,13170,6573,6546,9796,10938,9904,13332,4422,6574,6980,6132,5308,6701,6834,11591,12204,6784,6963,12411,8277,3753,13415,5834,11197,5860,12881,12902,6708,6409,253,6395,13336,13635,6897,13968,6544,12933,6462,6060,6658,5493,13773,12638,6199
Mizushima,6240,7268,8087,15081,15890,2614,8034,3172,13695,15448,10675,6402,6594,13956,1616,13694,14023,2809,10735,2454,10721,15859,2245,15802,918,13681,14225,317,4211,1496,7917,14751,4660,15887,5346,15174,5052,5347,795,3639,620,8102,3106,2732,416,14254,16850,14429,15165,4271,11134,15045,15052,13790,13710,14133,15829,6015,1052,433,4252,14462,3959,15797,11426,1460,14044,14072,359,805,1708,4269,14805,15716,105,5264,439,69,542,2278,14350,13439,15253,653,964,14515,6199,671,2677,13195,2698,349,4275,5587,4866,6605,179,4387,15453,15157,10654,15115,953,2182,15807,14329,763,15346,14305,14310,2190,2378,6356,2806,15216,14830,9488,6550,,8262,10990,14131,8107,7559,5477,340,639,643,424,5018,691,15042,4201,427,141,622,14988,15656,8869,3292,6331,15679,11999,5296,15660,3636,13696,13781,14610,3429,14367,1160,4196,10719,666,5821,747,923,1913,9621,6335,14958,11154,5330,14318,15232,14547,15802,13845,15017,92,10,11643,12785,11572,15179,3174,92,646,716,1497,357,650,13438,14052,437,629,14258,10124,2822,15262,998,9575,2577,14729,14737,969,178,6342,326,15184,15482,743,15815,106,14780,112,709,310,1199,15620,14486,783
Mombasa,6104,10451,7951,9317,10126,6437,7898,5098,7930,9683,6247,6266,6458,8191,6927,7930,8259,5456,4971,6194,4957,10094,6203,10037,8376,7917,8460,8368,5519,7019,2154,8986,12697,10123,11935,9409,2393,2482,8253,5404,8137,191,6351,6125,8264,8489,11085,8664,9401,3066,6236,9280,9288,8025,7945,8369,10064,5879,7609,8482,5084,8697,7723,10033,5738,7034,8280,8308,8059,8842,6939,5416,9040,9952,8213,2485,8488,8307,8579,6236,8585,7675,9488,8170,8849,8750,6063,7913,5617,7430,5576,7982,3281,5453,2365,6468,8120,12424,9689,9392,4890,9350,8948,6504,10043,8565,8150,9581,8540,8546,6313,6409,10971,6337,9452,9065,8243,6414,8262,,6097,8362,2338,716,5334,7987,8526,8530,8474,7839,8578,9273,3648,8477,8137,7664,9220,9888,8785,5140,6184,9910,6230,5163,9891,5401,7928,8013,8842,7382,8599,9037,12232,4951,8168,5674,8130,8364,6949,7655,6189,9190,6000,11959,8550,9464,8778,10033,8077,9249,8275,8248,5874,7017,5983,9411,5467,8276,8683,7834,7011,8404,8536,7670,8283,8486,8665,8490,4356,5455,9494,7536,7425,6776,8960,8972,8410,8111,6195,8097,9415,9713,8599,10047,8247,9012,8164,7762,8361,7196,9851,8717,7902
Montevideo,9708,5843,11554,6839,6429,9525,11502,8701,5452,7206,561,9869,10062,5713,10531,5452,5755,9060,4298,9686,4243,6397,9807,6340,11557,5439,4763,10739,9122,10622,4015,5289,8177,6426,7327,5779,8533,8829,11434,8763,11266,5946,9470,9568,11152,5968,8511,6154,5713,8436,173,5741,6810,5522,4249,5891,6367,9482,11045,10668,8688,6219,7461,6336,1026,10637,4583,4611,11074,10835,10543,9020,5619,7378,10917,8746,10673,10946,10703,9839,6059,5197,7010,11299,11132,6240,9666,11167,9221,4953,9180,10819,8657,9057,8360,10072,10915,8820,7179,6915,4364,6873,10841,9996,6346,6055,11367,7104,5975,6068,9916,9901,6363,9940,6974,6587,3635,10018,10990,6097,,5853,3866,5386,8939,10921,11234,11201,10669,6030,11144,5730,8949,10672,10849,10660,6738,7371,4177,8707,9788,6210,2530,8768,6191,8761,4227,4312,5141,8268,6117,11045,8858,4350,11306,9279,11355,11554,10554,3048,9793,6708,336,7352,6068,6948,6262,6333,5595,5765,10926,10982,1753,4523,763,5719,9039,10926,10764,11126,10615,10738,11245,5183,5802,10681,10747,5965,4163,9060,6978,10980,2818,9956,6479,6462,11600,10913,9800,11061,6934,7232,11339,7531,10897,6495,10876,11064,10746,10800,7370,6201,11194
Montoir,11973,11480,13820,2685,4918,12117,13767,10967,1298,3051,6260,12135,12327,1559,12775,1298,250,11325,4077,11915,4012,4881,12072,4798,14245,1285,3746,14237,11388,12888,6244,4517,13814,4900,12964,3348,10799,11094,14122,10992,14006,8212,11949,11806,14133,422,3098,562,3642,10701,5994,2897,2656,370,3550,1737,4829,11748,13478,14351,10953,2065,13032,4793,4860,12903,3600,3638,13928,14711,12808,11285,2543,1965,14082,11011,14357,14176,14448,12105,519,975,2856,14039,14718,648,11932,13782,11486,1042,11445,13851,10923,11322,10626,12337,13989,14457,1586,2760,4212,2718,14817,12225,4803,463,14019,2949,585,1914,12162,12130,12000,12206,2820,2433,9272,12283,14131,8362,5853,,6088,7642,11195,13850,14389,14393,14337,11660,14441,2873,11205,14340,14001,13528,2555,1791,9807,10929,12047,4578,3625,11024,4605,10982,3760,3485,4069,12986,1934,14900,14487,4138,14031,11535,13993,14227,12813,8678,12052,2525,5571,12981,1885,1367,681,4790,1412,2824,14139,14111,4177,1376,5199,3648,11260,14139,14546,13697,12874,14267,14399,760,1618,14350,14528,407,4494,11318,1397,13399,8448,12490,2296,870,14273,13974,12059,13960,2750,3049,14462,1950,14110,915,14027,13625,14224,13059,3187,620,13765
Mossel Bay,5949,8296,7796,7054,7863,6104,7743,4943,5667,7420,4034,6111,6303,5928,6756,5667,5996,5301,2708,5903,2694,7831,6048,7774,8221,5654,6197,8213,5364,6864,220,6723,10630,7860,9780,7146,4775,5070,8098,5003,7982,2188,5957,5793,8109,6226,8822,6401,7138,4677,4008,7017,7025,5762,5682,6106,7801,5724,7454,8327,4929,6434,7040,7770,3479,6879,6017,6045,7904,8687,6784,5261,6777,7689,8058,4987,8333,8152,8424,6081,6322,5412,7225,8015,8694,6487,5908,7758,5463,5167,5422,7827,4899,5298,4602,6313,7965,11273,7426,7129,2627,7087,8793,6213,7780,6302,7995,7318,6277,6283,6138,6117,8816,6182,7189,6802,6088,6259,8107,2338,3866,6088,,1624,5177,7830,8368,8372,8316,7156,8420,7027,5187,8320,7980,7507,6974,7642,6650,4913,6027,7665,3985,5006,7645,5000,5682,5767,6596,6994,6353,8880,11331,2705,8011,5517,7972,8207,6792,5521,6031,6944,3754,9825,6304,7218,6532,7788,5831,7003,8118,8091,3629,4771,3737,7165,5239,8119,8525,7677,6853,8246,8379,5424,6037,8329,8508,6244,2110,5298,7248,7378,5291,6485,6714,6709,8253,7954,6038,7940,7169,7468,8442,7801,8089,6766,8007,7605,8203,7038,7606,6471,7744
Mozambique Port,5402,9742,7248,8608,9417,5734,7195,4395,7221,8974,5538,5563,5756,7482,6225,7221,7550,4753,4262,5491,4248,9385,5501,9328,7673,7208,7751,7666,4816,6316,1445,8277,11995,9414,11226,8701,4227,4522,7550,4701,7435,565,5648,5423,7562,7780,10376,7955,8692,4130,5527,8571,8579,7316,7236,7660,9355,5176,6906,7779,4382,7988,7020,9324,5072,6331,7571,7599,7357,8140,6237,4714,8331,9243,7511,4440,7785,7604,7877,5533,7876,6966,8779,7468,8146,8041,5360,7211,4915,6721,4874,7279,4351,4750,4054,5766,7417,11722,8980,8683,4181,8641,8246,5802,9334,7856,7447,8872,7831,7837,5610,5706,10262,5634,8743,8356,7534,5712,7559,716,5386,7642,1624,,4632,7284,7823,7827,7771,7136,7875,8564,4642,7774,7435,6962,8511,9179,8076,4437,5481,9201,5521,4461,9182,4698,7219,7304,8133,6679,7890,8334,11529,4242,7465,4972,7427,7661,6247,6946,5486,8481,5291,11250,7841,8755,8069,9325,7368,8540,7573,7546,5165,6308,5274,8702,4764,7573,7980,7132,6308,7701,7833,6961,7574,7784,7962,7781,3647,4753,8785,6833,6716,6073,8251,8263,7707,7408,5493,7394,8706,9004,7897,9338,7544,8303,7462,7059,7658,6493,9143,8008,7199
Mundra,992,12512,2897,12160,12969,4447,2845,2314,10774,12527,9091,1154,1405,11035,4143,10773,11103,2672,7814,4115,7800,12938,3419,12881,5592,10761,11304,5584,2518,4235,4998,11830,9913,12966,10598,12253,442,374,5469,3973,5353,5184,4545,4240,5480,11333,13929,11508,12245,1831,9080,12124,12131,10869,10789,11212,12908,774,4824,5698,2084,11541,6601,12876,7903,4250,11124,11151,5275,6058,4155,2416,11884,12795,5429,408,5704,5523,5795,3451,11429,10518,12332,5386,6065,11594,951,5129,2833,10274,2792,5198,2053,271,625,1356,5336,9640,12532,12236,7733,12194,6164,4097,12886,11408,5365,12425,11384,11389,3528,4409,11600,3552,12295,11909,10935,1302,5477,5334,8939,11195,5177,4632,,5201,5740,5744,5688,7235,5792,12115,2341,5691,5352,4879,12061,12729,11476,2997,1073,12752,9072,297,12733,3970,10769,10854,11683,5555,11440,6251,9446,7792,5382,594,5344,5578,4164,10347,1078,12031,8841,10577,11391,12305,11619,12875,10918,12090,5490,5462,8716,9858,8824,12252,3338,5490,5897,5049,4225,5618,5750,10511,11124,5701,5879,11331,7197,2670,12335,4750,10117,4776,11802,11816,5624,5325,1084,5311,12256,12555,5814,12888,5461,11853,5378,4976,5575,4410,12693,11558,5116
Nagasaki,5975,7432,7821,14815,15624,2450,7768,2907,13429,15182,10604,6136,6329,13690,1361,13428,13758,2543,10469,2258,10455,15593,1980,15536,738,13416,13959,585,3945,1230,7651,14485,4787,15621,5498,14908,4786,5081,615,3464,447,7837,2939,2568,325,13988,16584,14163,14900,4005,11063,14779,14786,13524,13444,13867,15563,5749,779,700,3987,14196,3924,15532,11181,1194,13779,13807,175,896,1442,4003,14539,15451,288,4998,706,392,809,2012,14084,13173,14987,481,903,14249,5933,433,2411,12929,2432,172,4009,5321,4600,6339,166,4494,15187,14891,10389,14849,999,1937,15541,14063,568,15080,14039,14045,1935,2214,6520,2540,14951,14564,9745,6285,340,7987,10921,13850,7830,7284,5201,,582,586,697,5002,635,14774,3934,700,243,415,14721,15388,9049,3024,6063,15411,11731,5028,15392,3461,13429,13514,14343,3380,14099,1097,4309,10452,487,5553,555,735,1645,9831,6068,14691,11085,5486,14051,14965,14279,15534,13578,14749,416,334,11375,12517,11484,14911,2901,416,920,460,1230,631,593,13171,13784,710,902,13991,9856,2555,14995,723,9757,2443,14461,14471,781,164,6074,179,14916,15214,664,15548,459,14512,244,439,584,931,15352,14218,530
Nanao,6513,6965,8360,15354,16163,3019,8307,3445,13968,15721,10918,6675,6867,14229,1899,13967,14296,3082,11008,2796,10994,16132,2518,16075,1152,13954,14497,899,4484,1769,8190,15024,4320,16160,5030,15447,5324,5620,1029,4002,853,8375,3509,3137,465,14527,17123,14702,15438,4544,11376,15318,15325,14063,13983,14406,16101,6288,1298,858,4525,14735,4414,16070,11713,1733,14317,14345,575,429,1981,4542,15078,15989,587,5537,864,691,694,2551,14623,13712,15526,887,449,14787,6472,912,2950,13468,2971,759,4548,5860,5139,6878,465,4027,15726,15430,10927,15388,531,2475,16080,14602,996,15619,14578,14583,2473,2783,6053,3079,15489,15102,9229,6823,639,8526,11234,14389,8368,7823,5740,582,,107,862,5478,125,15313,4472,865,542,986,15259,15927,8582,3563,6602,15950,12270,5567,15931,3999,13967,14053,14881,3874,14638,683,3842,10990,899,6092,980,1156,2184,9515,6606,15229,11398,5019,14589,15503,14818,16073,14116,15288,715,633,11914,13056,11815,15450,3440,715,606,955,1768,912,561,13709,14323,875,615,14529,10395,3093,15533,1248,9558,2986,15000,15010,1202,463,6613,530,15455,15753,480,16086,729,15051,543,947,897,1470,15891,14757,1022
Naoetsu,6517,6932,8364,15358,16167,3023,8311,3449,13972,15725,10884,6679,6871,14233,1903,13971,14300,3086,11012,2800,10998,16136,2522,16079,1156,13958,14501,903,4488,1773,8194,15028,4286,16164,4997,15451,5328,5624,1033,4006,857,8379,3513,3141,469,14531,17127,14706,15442,4548,11342,15322,15329,14067,13987,14410,16105,6292,1302,825,4529,14739,4418,16074,11733,1737,14321,14349,579,395,1985,4546,15082,15993,591,5541,830,695,661,2555,14627,13716,15530,891,435,14791,6476,916,2954,13472,2975,763,4552,5864,5143,6882,469,3994,15730,15434,10931,15392,498,2479,16084,14606,1000,15623,14582,14587,2477,2787,6020,3083,15493,15106,9196,6827,643,8530,11201,14393,8372,7827,5744,586,107,,829,5482,75,15317,4476,832,546,990,15263,15931,8548,3567,6606,15954,12274,5571,15935,4003,13971,14057,14885,3878,14642,660,3808,10994,903,6096,984,1160,2188,9482,6610,15233,11365,4985,14593,15507,14822,16077,14120,15292,719,637,11918,13060,11782,15454,3444,719,573,959,1772,879,547,13713,14327,841,582,14533,10399,3097,15537,1252,9524,2990,15004,15014,1206,467,6617,534,15459,15757,484,16090,733,15055,547,951,901,1474,15895,14761,1026
Negishi,6461,6914,8308,15302,16111,2709,8255,3393,13916,15669,10352,6623,6815,14177,1829,13915,14244,3030,10956,2571,10942,16080,2478,16023,1292,13902,14446,205,4432,1738,8138,14972,4306,16108,4992,15395,5273,5568,1169,3734,994,8323,3199,2828,790,14475,17071,14650,15386,4492,10810,15266,15273,14011,13931,14354,16050,6236,1294,13,4473,14683,3837,16018,11477,1702,14266,14293,733,450,1949,4490,15026,15937,515,5485,16,380,187,2510,14571,13660,15474,1027,761,14736,6420,1033,2898,13416,2919,591,4496,5808,5087,6826,553,4032,15674,15378,10875,15336,598,2320,16028,14550,1136,15567,14526,14531,2403,2473,6002,3039,15437,15051,9192,6771,424,8474,10669,14337,8316,7771,5688,697,862,829,,4875,767,15261,4421,10,488,835,15208,15875,8518,3507,6550,15898,12218,5515,15879,3729,13916,14001,14830,3320,14586,947,3842,10939,1040,6040,1121,1297,2153,9291,6555,15178,10831,4976,14538,15452,14766,16021,14065,15237,365,422,11862,13005,11248,15398,3307,366,292,1038,1739,127,867,13658,14271,20,275,14478,10343,3042,15482,1240,9266,2619,14948,14958,1343,552,6561,700,15403,15701,961,16035,337,14999,515,1010,210,1441,15839,14705,1105
New Plymouth,8009,6646,9855,12635,12239,3553,9802,5632,11249,13002,5713,8170,8363,11510,4681,11248,11567,5268,9593,4426,9579,12207,5249,12151,5638,11236,10573,4933,6556,5155,7008,11099,6102,12236,5937,11589,6820,7115,5515,3891,5348,7689,3497,3595,5256,11798,14327,11962,11523,6325,6172,11551,12606,11334,10059,11687,12177,7783,5090,4883,6459,12016,1531,12146,6912,5120,10393,10421,5155,5140,5338,6580,11429,13193,5021,7032,4891,4974,4914,5281,11899,10993,12807,5381,5450,12047,7967,5249,5136,10749,5157,4900,6460,7355,6634,8373,5019,6452,12986,12711,9512,12669,5241,4429,12156,11862,5457,12900,11786,11864,4829,3948,5947,5710,12771,12384,5741,8319,5018,7839,6030,11660,7156,7136,7235,5002,5478,5482,4875,,5461,11540,6504,4889,4952,4741,12535,13179,5913,4698,8090,12020,8340,7055,12001,3890,10037,10122,10951,2297,11913,5537,6470,9569,5387,7581,5436,5635,5541,5289,8095,12505,6194,5937,11865,12755,12069,12143,11392,11575,4952,5009,7557,10319,6611,11529,4573,4953,5007,5207,5155,4889,5488,10982,11598,4898,4990,11794,8974,5280,12785,5024,5034,4000,12275,12270,5681,5016,8102,5164,12730,13028,5581,13338,4924,12303,4979,5145,4925,4889,13166,12009,5275
Niigata-Higashi,6565,6875,8412,15406,16215,3071,8359,3498,14020,15773,10827,6727,6919,14281,1951,14019,14349,3134,11060,2848,11046,16184,2571,16127,1201,14007,14550,901,4536,1821,8242,15076,4230,16212,4940,15499,5377,5672,1078,4055,903,8427,3561,3190,537,14579,17175,14754,15491,4596,11286,15370,15377,14115,14035,14458,16154,6340,1350,768,4577,14787,4413,16122,11767,1785,14370,14397,624,339,2033,4594,15130,16041,639,5589,774,743,604,2603,14675,13764,15578,936,389,14840,6524,963,3002,13520,3023,811,4600,5912,5191,6930,517,3937,15778,15482,10979,15440,441,2527,16132,14654,1045,15671,14630,14635,2525,2835,5963,3131,15542,15155,9139,6875,691,8578,11144,14441,8420,7875,5792,635,125,75,767,5461,,15365,4524,775,594,1038,15311,15979,8492,3615,6654,16002,12322,5619,15983,4051,14020,14105,14933,3897,14690,606,3751,11042,947,6144,1028,1204,2236,9425,6659,15281,11308,4929,14642,15555,14870,16125,14168,15340,767,685,11966,13108,11725,15502,3492,767,516,1007,1820,822,130,13761,14375,785,525,14581,10447,3146,15586,1300,9468,3038,15052,15062,1250,515,6665,577,15507,15805,477,16138,781,15103,595,999,905,1522,15943,14809,1074
Northeast Gateway,12884,11353,14731,4669,2280,13028,14678,11878,3282,5035,6137,13046,13239,3543,13686,3282,2905,12236,5040,12826,4975,2244,12983,2160,15156,3269,1594,15149,12299,13799,7156,2159,13687,2262,12837,659,11710,12005,15033,11904,14917,9123,12864,12717,15044,2700,4631,3020,959,11612,5871,24,4640,2692,1784,3721,2191,12659,14389,15262,11865,4049,12971,2156,9268,13814,1578,1570,14840,15622,13720,12196,368,3500,14994,11922,15268,15087,15360,13016,2759,2959,4840,14950,15629,3106,12843,14693,12398,2941,12357,14762,11834,12233,11537,13249,14900,14330,3666,4744,5176,4703,15728,13137,2165,2920,14930,4933,2553,3898,13073,13041,11873,13117,4804,4417,9146,13194,15042,9273,5730,2873,7027,8564,12115,14774,15313,15317,15261,11540,15365,,12120,15256,14916,14443,4578,3873,9684,11845,12963,1939,3277,11939,1967,11898,2032,1717,1680,13775,3957,15816,14365,5106,14947,12450,14908,15143,13728,8555,12967,4548,5451,12859,3908,3449,3128,2151,3435,274,15054,15027,4055,2819,5078,964,12176,15055,15461,14613,13789,15182,15315,2818,3641,15265,15444,2706,5461,12234,3479,14314,8325,13405,4318,3051,15189,14890,12974,14876,4773,5071,15378,4032,15025,3267,14943,14540,15139,13974,5210,3067,14680
