from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Bahrain,Guanabara
Livorno,4514,11678,1586,1189,5785,8640,1867,6507,676,1554,6476,3143,392,8337,676,1792,6850,4264,8309,4199,5748,7613,5665,9785,642,4443,9778,6712,8428,6431,5214,14011,5767,13161,4319,4695,4643,9662,8167,9546,8398,8728,8433,9674,2022,4651,2197,4580,6025,6209,3921,1158,1558,4158,257,5695,4273,9018,9891,6277,438,10795,5660,8443,4268,4306,9469,10252,8349,6609,3571,3517,9623,4677,9897,9716,9989,7645,2118,1003,1360,9580,10258,2283,4472,9323,7027,1126,6986,9391,6247,4374,4838,4878,9529,13834,3221,1263,4399,1221,10358,8290,5670,2098,9559,1454,2105,,7704,8593,12198,7727,1323,950,9470,4808,9651,8546,6068,1914,6283,7837,4461,9385,9923,9927,9872,11419,9976,3898,6525,9875,9535,9062,1083,3439,10011,7180,4574,5447,3906,4558,5474,8153,4331,4104,4819,9738,453,10435,13630,4333,9566,4041,9527,9762,8347,8882,4579,1054,5792,13186,17,3015,2330,5659,533,3849,9673,9646,4403,1607,5419,4581,7522,9674,10080,9232,8408,9802,9934,1186,454,9884,10063,2041,4688,6853,3046,8934,8652,8960,823,2505,9808,9509,4586,9495,1278,1578,9997,3598,9644,2563,9562,9160,9758,8594,1716,2269,9299,4675,
Lumut,4294,9151,6140,6866,13075,1620,6088,1226,7940,6380,10062,4648,7846,720,7939,9082,870,8779,984,8765,13039,593,12955,2325,7947,11734,2290,2264,1170,5964,12505,6620,13057,7295,11610,3105,3400,2202,2177,2086,6156,2110,1709,2205,9312,11941,9487,11870,2324,10052,11211,7455,8849,11449,7842,12986,4068,1557,2405,2306,7528,3684,12951,1181,11559,11597,2000,2765,1116,2322,10862,10808,2143,3317,2410,2230,2502,626,9409,8294,6404,2119,2789,9573,4252,1862,730,8416,751,1920,2328,3640,2919,4658,2060,6347,10512,7559,8698,7517,2888,663,12961,9388,2098,6449,9395,7704,,1384,8242,1024,7039,7062,10343,4616,2190,6313,9916,9218,6138,5610,3528,1935,2473,2477,2403,4829,2525,11202,2252,2407,2074,1593,7397,10743,10302,1282,4382,12751,10030,3347,12778,2174,11635,11408,12123,2880,7283,2984,6161,8750,2124,3872,2085,2320,1148,9966,4386,6872,9800,7281,7721,10319,9634,12963,7933,11153,2206,2185,9674,8911,9783,11885,1160,2206,2612,1790,1169,2332,2483,8490,7606,2416,2595,9345,8155,873,10349,1492,9777,1656,7207,9796,2366,2058,4393,2045,7592,6528,2547,10902,2177,9867,2101,1718,2289,1186,7432,9573,1858,4455,
Luwuk,5182,8815,7029,7754,13897,454,6976,2208,8829,7269,9604,5536,8735,,8828,9971,1852,8742,995,8728,13865,1804,13809,2727,8836,12231,2408,3247,1869,5949,12757,6487,13894,7021,12499,3993,4289,2604,1434,2458,6258,925,528,2518,10201,12830,10376,12759,3306,10042,12100,8343,9737,11717,8731,13835,4957,1989,2475,3288,8416,2759,13804,1850,12051,12079,2329,2827,1937,3305,11751,11696,2332,4206,2481,2384,2565,1836,10297,9183,7292,2491,3100,10462,5141,2265,1713,9305,1734,2135,3310,4529,3808,5547,2330,6293,11401,8448,8661,8406,2975,966,13814,10277,2500,7338,10284,8593,1384,,7916,2265,7919,7943,9552,5496,2378,6409,9901,10098,6117,5706,4409,2214,2783,2787,2473,3948,2835,12082,3235,2477,2263,1827,8278,11624,9591,1454,5262,13631,9998,4227,13659,1430,11695,11780,12609,1713,8164,3295,6115,8718,2497,4752,2487,2723,2140,9117,5267,7753,9767,7008,8602,11200,10514,13801,8813,12034,2360,2374,9642,9792,9751,12765,1149,2361,2675,2200,1869,2429,2794,9371,8486,2486,2657,10226,8123,1856,11230,1924,8926,644,8088,10685,2769,2327,5274,2359,8473,7409,2860,11783,2331,10748,2290,2131,2410,1712,8313,10453,2267,5344,
Manzanillo,12365,932,13366,12969,12572,7967,13647,9297,11582,13336,6047,12719,11843,7726,11582,11901,8933,10038,8126,9992,12541,8375,12484,7078,11569,10907,6131,10336,7648,8965,11433,1968,12570,1105,11923,11176,11471,6955,8831,6780,10821,8010,8085,6320,12131,14661,12295,11857,10395,6505,11885,12940,11667,10392,12021,12511,12139,7221,6001,10377,12349,6666,12480,7613,10727,10755,6502,5723,7858,10394,11763,13527,6441,11389,6006,6306,5875,8407,12232,11327,13140,6813,5798,12381,12324,6841,8801,11083,8822,6517,10399,11711,10990,12729,6407,2612,13320,13045,10052,13003,5555,,12489,12196,6923,13234,12120,12198,8242,7916,,8935,13106,12722,3222,12687,6356,10971,6363,12000,8816,10262,11600,6520,6053,6020,6002,,5963,11873,10324,6005,6412,6746,12868,13512,2557,9109,12453,12353,8673,11418,12334,8825,10371,10456,11284,6773,12247,5585,2648,10073,6824,11943,6905,7081,8061,3638,12458,12838,6527,1129,12198,13088,12403,12476,11725,11909,6290,6346,7891,10652,6945,11862,8804,6290,5810,6884,7648,6052,6063,11316,11931,6015,5819,12127,9695,8945,13119,7164,3789,7776,12609,12604,7127,6404,12464,6452,13063,13362,6094,13672,6261,12636,6439,6877,6134,7350,13500,12342,6951,12526,
Map Ta Phut,4317,9847,6164,6889,13099,2374,6111,1249,7964,6404,10086,4671,7870,1485,7963,9106,886,8812,1865,8798,13062,725,12979,2922,7970,11757,2925,2288,1560,5993,12529,7255,13081,7935,11633,3128,3424,2799,2367,2683,6179,2612,2179,2810,9336,11965,9511,11894,2348,10075,11235,7478,8872,11473,7865,13010,4092,2155,3040,2329,7551,4565,12974,1575,11583,11620,2606,3392,1481,2346,10886,10831,2759,3341,3046,2859,3137,758,9432,8318,6427,2716,3395,9597,4276,2459,754,8440,775,2528,2352,3664,2943,4681,2666,6982,10535,7583,8731,7541,3494,1544,12984,9412,2696,6472,9419,7727,1024,2265,8935,,7063,7086,11225,4640,2806,6337,9940,9242,6182,5634,3552,2540,3079,3083,3039,5710,3131,11226,2276,3042,2690,2228,7421,10767,11183,1472,4406,12775,10074,3371,12802,2364,11659,11432,12147,3525,7307,3590,6797,8794,2721,3896,2683,2917,1498,10847,4410,6896,9843,7923,7745,10343,9658,12987,7956,11177,2838,2801,9718,8935,9827,11909,1350,2839,3248,2387,1559,2968,3089,8514,7630,3051,3230,9369,8199,897,10373,2089,10658,2537,7231,9819,2963,2664,4417,2650,7616,6552,3152,10926,2809,9891,2717,2315,2924,1748,7456,9597,2455,4479,
Marmara Ereglisi,3830,12587,903,243,6694,7957,1184,5824,1559,845,7385,2460,1465,7654,1558,2701,6182,5173,7626,5108,6658,6929,6574,9102,1566,5352,9094,6028,7745,7340,6124,13423,6676,14071,5229,4012,3960,8979,7483,8863,8691,8047,7750,8990,2931,5560,3106,5489,5342,7118,4830,1043,2467,5068,1461,6605,3590,8335,9208,5594,1146,10111,6570,7760,5178,5216,8786,9568,7665,5926,4481,4426,8939,3993,9214,9033,9305,6962,3027,1913,720,8896,9575,3192,3789,8639,6344,2035,6303,8708,5563,3691,4155,4195,8846,13150,4131,1148,5309,1106,9674,7607,6579,3007,8876,717,3014,1323,7039,7919,13106,7063,,809,10377,4127,8969,8833,6974,2820,7189,8130,3779,8703,9242,9246,9190,10737,9294,4804,5843,9193,8854,8381,969,4345,10918,6499,3893,6353,4813,3876,6380,7472,5237,5010,5725,9057,885,9753,12948,5239,8884,3359,8846,9080,7666,9788,3898,347,6698,14079,1324,3922,3236,6565,1535,4756,8992,8965,5309,2513,6326,5487,6840,8992,9399,8551,7727,9120,9252,2092,1208,9203,9381,2948,5594,6172,3952,8252,9559,8278,779,3415,9126,8827,3904,8813,1165,843,9316,4505,8963,3469,8881,8478,9077,7912,417,3175,8618,3992,
Marsa el Brega,3854,12202,926,674,6309,7981,1207,5847,1174,904,7000,2483,1077,7677,1173,2316,6206,4789,7649,4723,6273,6953,6189,9125,1181,4968,9118,6052,7768,6956,5739,13447,6291,13686,4844,4035,3983,9002,7507,8887,8714,8069,7773,9014,2546,5175,2721,5104,5365,6733,4445,916,2083,4683,1072,6220,3613,8358,9232,5617,774,10135,6185,7783,4793,4831,8809,9592,7689,5949,4096,4042,8963,4017,9237,9056,9329,6985,2642,1528,693,8920,9599,2807,3812,8663,6367,1650,6326,8731,5587,3714,4178,4218,8870,13174,3746,1021,4924,979,9698,7630,6194,2622,8899,830,2629,950,7062,7943,12722,7086,809,,9990,4149,8991,8855,6587,2433,6802,8152,3801,8725,9264,9268,9212,10759,9316,4417,5865,9215,8876,8403,840,3959,10531,6521,3915,5966,4426,3898,5993,7494,4850,4623,5338,9079,517,9775,12970,4852,8906,3381,8868,9102,7688,9402,3919,539,6311,13705,950,3535,2849,6178,1148,4369,9014,8986,4922,2126,5939,5100,6862,9014,9421,8572,7749,9142,9274,1705,821,9225,9403,2561,5207,6193,3565,8274,9172,8300,616,3030,9148,8849,3926,8835,1036,954,9337,4118,8985,3082,8902,8500,9099,7934,1200,2788,8640,4015,
Mejillones,11705,2484,10638,10241,9845,9157,10920,10620,8855,10608,3319,12059,9116,10196,8854,9174,10872,7311,10029,7265,9813,10763,9757,10254,8842,8179,9275,11118,10603,6237,8705,5159,9842,4296,9195,10530,10825,10130,9220,9955,8093,9101,9199,9495,9404,11933,9568,9129,10432,3778,9157,10212,8940,7665,9293,9783,11479,10320,9145,10684,9622,7172,9752,10568,7999,8027,9677,8913,10786,11016,9035,10799,9573,10743,9151,9438,9065,10796,9505,8599,10413,9988,8988,9653,11663,10016,10740,8355,10761,9639,10653,11053,10357,12069,9582,5802,10592,10317,7324,10275,8745,9944,9762,9468,10098,10506,9392,9470,10343,9552,3222,11225,10377,9990,,12018,9488,8243,3635,9272,6088,7534,10935,9745,9229,9196,9192,5741,9139,9146,10944,9196,9543,9810,10141,10785,701,10025,11784,9626,5946,10764,9607,9217,7643,7728,8557,7904,9519,8775,5839,7346,9999,11275,10081,10257,10989,624,11789,10111,3800,4319,9471,10361,9675,9749,8998,9181,9421,9478,5163,7925,4217,9135,10177,9422,9001,10059,10603,9242,9239,8588,9204,9205,9010,9400,6968,10883,10391,10255,857,9515,9881,9876,10303,9580,11796,9628,10336,10634,9285,10944,9392,9909,9570,10052,9324,10303,10772,9615,10127,11866,
Mina Al-Ahmadi,462,13599,3245,3970,10180,5534,3192,3401,5045,3485,10174,1752,4951,5230,5044,6187,3759,8659,5203,8594,10143,4506,10060,6679,5051,8838,6671,3605,5322,6082,9609,11000,10162,11685,8714,1588,1517,6556,5060,6440,6268,5628,5327,6567,6417,9046,6592,8975,2919,10164,8316,4559,5953,8553,4946,10090,605,5912,6785,3171,4632,7688,10055,5337,8663,8701,6362,7145,5242,3503,7966,7912,6516,1551,6791,6610,6882,4539,6513,5398,3508,6473,7152,6678,459,6216,3921,5521,3880,6285,3140,1117,1732,176,6423,10727,7616,4664,8794,4622,7251,5184,10065,6493,6453,3553,6500,4808,4616,5496,12687,4640,4127,4149,12018,,6550,6414,10018,6319,6259,5712,1302,6285,6823,6827,6771,8319,6875,8303,3424,6775,6435,5962,4499,7845,12556,4080,266,9852,8312,1436,9880,5053,8737,8509,9225,6638,4385,7335,10530,8738,6466,794,6427,6662,5247,11426,360,3974,9921,11660,4823,7421,6735,10065,5034,8255,6573,6546,8809,6013,9825,8986,4422,6574,6980,6132,5308,6701,6834,5592,4707,6784,6963,6447,8277,3753,7451,5834,11197,5860,4309,6900,6708,6409,253,6395,4694,3630,6897,8004,6544,6969,6462,6060,6658,5493,4534,6674,6199,287,
Mizushima,6240,7268,8087,8812,15022,2614,8034,3172,9887,8327,10675,6594,9793,1616,9886,11029,2809,10735,2454,10721,14986,2245,14902,918,9894,13680,317,4211,1496,7917,14452,4660,15004,5346,13557,5052,5347,795,3639,620,8102,3106,2732,416,11259,13888,11434,13817,4271,11134,13158,9401,10795,13396,9788,14933,6015,1052,433,4252,9474,3959,14897,1460,13506,13544,359,805,1708,4269,12809,12754,105,5264,439,69,542,2278,11355,10241,8350,653,964,11520,6199,671,2677,10363,2698,349,4275,5587,4866,6605,179,4387,12459,9506,10654,9464,953,2182,14907,11335,763,8395,11342,9651,2190,2378,6356,2806,8969,8991,9488,6550,,8262,10990,11167,8107,7559,5477,340,639,643,424,5018,691,13151,4201,427,141,622,9346,12692,8869,3292,6331,14700,11999,5296,14727,3636,13584,13357,14072,3429,9232,1160,4196,10719,666,5821,747,923,1913,9621,6335,8821,11154,5330,9670,12268,11583,14912,9882,13102,92,10,11643,10860,11572,13834,3174,92,646,716,1497,357,650,10439,9555,437,629,11294,10124,2822,12298,998,9575,2577,9156,11742,969,178,6342,326,9541,8477,743,12851,106,11816,112,709,310,1199,9381,11522,783,6402,
Mombasa,6104,10451,7951,8676,10126,6437,7898,5098,7930,8191,6247,6458,8191,6927,7930,8259,5456,4971,6194,4957,10094,6203,10037,8376,7917,8460,8368,5519,7019,2154,8986,12697,10123,11935,9409,,,8253,5404,8137,191,6351,6125,8264,8489,11085,8664,9401,,6236,9280,9265,8025,7945,8369,10064,5879,7609,8482,5084,8697,7723,10033,7034,8280,8308,8059,8842,6939,5416,9040,9952,8213,,8488,8307,8579,6236,8585,7675,8214,8170,8849,8750,6063,7913,5617,7430,5576,7982,,5453,,6468,8120,12424,9689,9370,4890,9328,8948,6504,10043,8565,8150,8259,8540,8546,6313,6409,10971,6337,8833,8855,8243,6414,8262,,6097,8362,2338,716,5334,7987,8526,8530,8474,7839,8578,9273,,8477,8137,7664,9199,9888,8785,5140,6184,9910,6230,5163,9891,5401,7928,8013,8842,7382,8599,9037,12232,4951,8168,5674,8130,8364,6949,7655,6189,8674,6000,11959,8550,9464,8778,10033,8077,9249,8275,8248,5874,7017,5983,9411,5467,8276,8683,7834,7011,8404,8536,7670,8283,8486,8665,8490,4356,5455,9494,7536,7425,6776,8960,8972,8410,8111,6195,8097,9395,8330,8599,10047,8247,9012,8164,7762,8361,7196,9234,8717,7902,6266,
Montevideo,9708,5843,7236,6839,6429,9525,7517,8701,5452,7206,561,8793,5713,10531,5452,5755,9060,4298,9686,4243,6397,9807,6340,11557,5439,4763,10739,9122,10622,4015,5289,8177,6426,7327,5779,8533,8829,11434,8763,11266,5946,9470,9568,11152,5968,8511,6154,5713,8436,173,5741,6810,5522,4249,5891,6367,9482,11045,10668,8688,6219,7461,6336,10637,4583,4611,11074,10835,10543,9020,5619,7378,10917,8746,10673,10946,10703,9839,6059,5197,7010,11299,11132,6240,9666,11167,9221,4953,9180,10819,8657,9057,8360,10072,10915,8820,7179,6915,4364,6873,10841,9996,6346,6055,11367,7104,5975,6068,9916,9901,6363,9940,6974,6587,3635,10018,10990,6097,,5853,3866,5386,8939,10921,11234,11201,10669,6030,11144,5730,8949,10672,10849,10660,6738,7371,4177,8707,9788,6210,2530,8768,6191,8761,4227,4312,5141,8268,6117,11045,8858,4350,11306,9279,11355,11554,10554,3048,9793,6708,336,7352,6068,6948,6262,6333,5595,5765,10926,10982,1753,4523,763,5719,9039,10926,10764,11126,10615,10738,11245,5183,5802,10681,10747,5965,4163,9060,6978,10980,2818,9956,6479,6462,11600,10913,9800,11061,6934,7232,11339,7531,10897,6495,10876,11064,10746,10800,7370,6201,11194,9869,
Montoir,6009,11480,3081,2685,4918,10136,3363,8003,1298,3051,6260,4639,1559,9832,1298,250,8361,4077,9805,4012,4881,9108,4798,11281,1285,3746,11273,8207,9924,6244,4517,13814,4900,12964,3348,6191,6139,11158,9662,11042,8212,10199,9929,11169,422,3098,562,3642,7521,5994,2897,2656,370,3550,1737,4829,5769,10514,11387,7773,2065,12290,4793,9939,3600,3638,10964,11747,9844,8105,2543,1965,11118,6172,11393,11212,11484,9141,519,975,2856,11075,11754,648,5968,10818,8523,1042,8482,10887,7742,5870,6334,6374,11025,14457,1586,2760,4212,2718,11853,9786,4803,463,11055,2949,585,1914,9218,10098,12000,9242,2820,2433,9272,6319,11167,8362,5853,,6088,7642,5932,10856,11394,11398,11342,11660,11446,2873,7995,11346,11006,10533,2555,1791,9807,8651,6045,4578,3625,6028,4605,9624,3760,3485,4069,11209,1934,11906,14487,4138,11037,5512,10998,11233,9818,8678,6050,2525,5571,12981,1885,1367,681,4790,1412,2824,11144,11117,4177,1376,5199,3648,8993,11145,11551,10703,9879,11272,11405,760,1618,11355,11534,407,4494,8324,1397,10405,8448,10431,2296,870,11279,10980,6057,10966,2750,3049,11468,1950,11115,915,11033,10631,11229,10064,3187,620,10770,6171,
Mossel Bay,5949,8296,7450,7054,7863,6104,7732,4943,5667,7420,4034,6303,5928,6756,5667,5996,5301,2708,5903,2694,7831,6048,7774,8221,5654,6197,8213,5364,6864,220,6723,10630,7860,9780,7146,4775,5070,8098,5003,7982,2188,5957,5793,8109,6226,8822,6401,7138,4677,4008,7017,7025,5762,5682,6106,7801,5724,7454,8327,4929,6434,7040,7770,6879,6017,6045,7904,8687,6784,5261,6777,7689,8058,4987,8333,8152,8424,6081,6322,5412,7225,8015,8694,6487,5908,7758,5463,5167,5422,7827,4899,5298,4602,6313,7965,11273,7426,7129,2627,7087,8793,6213,7780,6302,7995,7318,6277,6283,6138,6117,8816,6182,7189,6802,6088,6259,8107,2338,3866,6088,,1624,5177,7830,8368,8372,8316,7156,8420,7027,5187,8320,7980,7507,6974,7642,6650,4913,6027,7665,3985,5006,7645,5000,5682,5767,6596,6994,6353,8880,11331,2705,8011,5517,7972,8207,6792,5521,6031,6944,3754,9825,6304,7218,6532,7788,5831,7003,8118,8091,3629,4771,3737,7165,5239,8119,8525,7677,6853,8246,8379,5424,6037,8329,8508,6244,2110,5298,7248,7378,5291,6485,6714,6709,8253,7954,6038,7940,7169,7468,8442,7801,8089,6766,8007,7605,8203,7038,7606,6471,7744,6111,
Mozambique Port,5402,9742,7248,7973,9417,5734,7195,4395,7221,7488,5538,5756,7482,6225,7221,7550,4753,4262,5491,4248,9385,5501,9328,7673,7208,7751,7666,4816,6316,1445,8277,11995,9414,11226,8701,4227,4522,7550,4701,7435,565,5648,5423,7562,7780,10376,7955,8692,4130,5527,8571,8562,7316,7236,7660,9355,5176,6906,7779,4382,7988,7020,9324,6331,7571,7599,7357,8140,6237,4714,8331,9243,7511,4440,7785,7604,7877,5533,7876,6966,7512,7468,8146,8041,5360,7211,4915,6721,4874,7279,4351,4750,4054,5766,7417,11722,8980,8667,4181,8625,8246,5802,9334,7856,7447,7557,7831,7837,5610,5706,10262,5634,8130,8152,7534,5712,7559,716,5386,7642,1624,,4632,7284,7823,7827,7771,7136,7875,8564,4642,7774,7435,6962,8497,9179,8076,4437,5481,9201,5521,4461,9182,4698,7219,7304,8133,6679,7890,8334,11529,4242,7465,4972,7427,7661,6247,6946,5486,7972,5291,11250,7841,8755,8069,9325,7368,8540,7573,7546,5165,6308,5274,8702,4764,7573,7980,7132,6308,7701,7833,6961,7574,7784,7962,7781,3647,4753,8785,6833,6716,6073,8251,8263,7707,7408,5493,7394,8692,7628,7897,9338,7544,8303,7462,7059,7658,6493,8532,8008,7199,5563,
Mundra,992,12512,2897,3623,9833,4447,2845,2314,4697,3137,9091,1405,4604,4143,4696,5839,2672,7814,4115,7800,9796,3419,9712,5592,4704,8491,5584,2518,4235,4998,9262,9913,9814,10598,8367,,374,5469,3973,5353,5184,4545,4240,5480,6069,8698,6245,8627,1831,9080,7968,4212,5606,8206,4599,9743,774,4824,5698,2084,4285,6601,9708,4250,8316,8354,5275,6058,4155,2416,7619,7565,5429,408,5704,5523,5795,3451,6166,5051,3161,5386,6065,6330,951,5129,2833,5173,2792,5198,2053,271,,1356,5336,9640,7269,4316,7733,4274,6164,4097,9718,6145,5365,3206,6152,4461,3528,4409,11600,3552,3779,3801,10935,1302,5477,5334,8939,5932,5177,4632,,5201,5740,5744,5688,7235,5792,7951,2341,5691,5352,4879,4146,7492,11476,2997,1073,9500,7959,297,9527,3970,8384,8157,8872,5555,4032,6251,9446,7792,5382,594,5344,5578,4164,10347,1078,3621,8841,10577,4470,7068,6383,9712,4681,7902,5490,5462,8456,5660,8824,8634,3338,5490,5897,5049,4225,5618,5750,5239,4355,5701,5879,6094,7197,2670,7098,4750,10117,4776,3956,6553,5624,5325,1084,5311,4341,3277,5814,7651,5461,6616,5378,4976,5575,4410,4181,6322,5116,1154,
Nagasaki,5975,7432,7821,8546,14756,2450,7768,2907,9621,8061,10604,6329,9527,1361,9620,10763,2543,10469,2258,10455,14720,1980,14636,738,9628,13415,585,3945,1230,7651,14186,4787,14738,5498,13291,4786,5081,615,3464,447,7837,2939,2568,325,10993,13622,11168,13551,4005,11063,12892,9135,10530,13130,9523,14667,5749,779,700,3987,9209,3924,14632,1194,13240,13278,175,896,1442,4003,12543,12489,288,4998,706,392,809,2012,11089,9975,8085,481,903,11254,5933,433,2411,10097,2432,172,4009,5321,4600,6339,166,4494,12193,9240,10389,9198,999,1937,14641,11069,568,8130,11076,9385,1935,2214,6520,2540,8703,8725,9745,6285,340,7987,10921,10856,7830,7284,5201,,582,586,697,5002,635,12883,3934,700,243,415,9078,12424,9049,3024,6063,14432,11731,5028,14459,3461,13316,13089,13804,3380,8964,1097,4309,10452,487,5553,555,735,1645,9831,6068,8553,11085,5486,9403,12001,11315,14644,9614,12835,416,334,11375,10592,11484,13566,2901,416,920,460,1230,631,593,10171,9287,710,902,11027,9856,2555,12031,723,9757,2443,8888,11477,781,164,6074,179,9274,8209,664,12584,459,11548,244,439,584,931,9113,11254,,6136,
Nanao,6513,6965,8360,9085,15295,3019,8307,3445,10160,8600,10918,6867,10066,1899,10159,11302,3082,11008,2796,10994,15258,2518,15175,1152,10166,13953,899,4484,1769,8190,14725,4320,15277,5030,13829,5324,5620,1029,4002,853,8375,3509,3137,465,11532,14161,11707,14090,4544,11376,13431,9674,11068,13669,10061,15206,6288,1298,858,4525,9747,4414,15170,1733,13779,13817,575,429,1981,4542,13082,13027,587,5537,864,691,694,2551,11628,10514,8623,887,,11793,6472,912,2950,10636,2971,759,4548,5860,5139,6878,465,4027,12732,9779,10927,9737,531,2475,15180,11608,996,8668,11615,9923,2473,2783,6053,3079,9242,9264,9229,6823,639,8526,11234,11394,8368,7823,5740,582,,,862,5478,125,13422,4472,865,542,986,9617,12963,8582,3563,6602,14971,12270,5567,14998,3999,13855,13628,14343,3874,9503,683,3842,10990,899,6092,980,1156,2184,9515,6606,9092,11398,5019,9941,12539,11854,15183,10153,13373,715,633,11914,11131,11815,14105,3440,715,606,955,1768,912,,10710,9826,875,615,11565,10395,3093,12569,1248,9558,2986,9427,12015,1202,463,6613,530,9812,8748,480,13122,729,12087,543,947,897,1470,9652,11793,1022,6675,
Naoetsu,6517,6932,8364,9089,15299,3023,8311,3449,10164,8604,10884,6871,10070,1903,10163,11306,3086,11012,2800,10998,15262,2522,15179,1156,10170,13957,903,4488,1773,8194,14729,4286,15281,4997,13833,5328,5624,1033,4006,857,8379,3513,3141,469,11536,14165,11711,14094,4548,11342,13435,9678,11072,13673,10065,15210,6292,1302,825,4529,9751,4418,15174,1737,13783,13821,579,395,1985,4546,13086,13031,591,5541,830,695,661,2555,11632,10518,8627,891,,11797,6476,916,2954,10640,2975,763,4552,5864,5143,6882,469,3994,12736,9783,10931,9741,498,2479,15184,11612,1000,8672,11619,9927,2477,2787,6020,3083,9246,9268,9196,6827,643,8530,11201,11398,8372,7827,5744,586,,,829,5482,75,13426,4476,832,546,990,9621,12967,8548,3567,6606,14975,12274,5571,15002,4003,13859,13632,14347,3878,9507,660,3808,10994,903,6096,984,1160,2188,9482,6610,9096,11365,4985,9945,12543,11858,15187,10157,13377,719,637,11918,11135,11782,14109,3444,719,573,959,1772,879,,10714,9830,841,582,11569,10399,3097,12573,1252,9524,2990,9431,12019,1206,467,6617,534,9816,8752,484,13126,733,12091,547,951,901,1474,9656,11797,1026,6679,
Negishi,6461,6914,8308,9033,15243,2709,8255,3393,10108,8548,10352,6815,10014,1829,10107,11250,3030,10956,2571,10942,15207,2478,15123,1292,10115,13901,205,4432,1738,8138,14673,4306,15225,4992,13778,5273,5568,1169,3734,994,8323,3199,2828,790,11480,14109,11655,14038,4492,10810,13379,9622,11016,13617,10009,15154,6236,1294,13,4473,9695,3837,15118,1702,13727,13765,733,450,1949,4490,13030,12975,515,5485,16,380,187,2510,11576,10462,8571,1027,761,11741,6420,1033,2898,10584,2919,591,4496,5808,5087,6826,553,4032,12680,9727,10875,9685,598,2320,15128,11556,1136,8616,11563,9872,2403,2473,6002,3039,9190,9212,9192,6771,424,8474,10669,11342,8316,7771,5688,697,862,829,,,767,13370,4421,10,488,835,9565,12912,8518,3507,6550,14919,12218,5515,14946,3729,13803,13576,14291,3320,9452,947,3842,10939,1040,6040,1121,1297,2153,9291,6555,9040,10831,4976,9890,12488,11802,15131,10101,13322,365,422,11862,11079,11248,14053,3307,366,292,1038,1739,127,867,10658,9774,20,275,11514,10343,3042,12518,1240,9266,2619,9376,11963,1343,552,6561,700,9761,8696,961,13071,337,12036,515,1010,210,1441,9600,11741,1105,6623,
