from,Abu Dhabi,Acajutla,Ain Sokhna,Aliaga LNG,Altamira,Ambon,Aqaba,Arun,Arzew,Ashdod,Bahia Blanca,Bahrain,Bal Haf LNG,Barcelona,Batangas,Bethioua,Bilbao,Bintulu,Bonny,Bontang,Brass,Brownsville,Cai Mep Gas Terminal,Cameron,Cao Fei Dian 11,Cartagena,Caucedo,Chita - LNG,Chittagong,Chiwan,Coega,"Colon, Panama",Coos Bay,Corpus Christi,Costa Azul,Cove Point,Dabhol,Dahej,Dalian,Dampier,Dangjin,Dar-es-Salaam,Darwin,Dili,Donghae,Dragon,Drovyanoy,Dunkirk,Elba Island,Ennore,Escobar,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Freeport,Fujairah,Fujian,Futtsu,Gangavaram,Gioia Tauro,Gladstone,Golden Pass,Guangdong,Guayama,Guayanilla,Gwangyang,Hachinohe,Haikou,Haldia,Halifax,Hammerfest,Hatsukaichi,Hazira,Higashi-Ogishima,Himeji,Hitachi,Ho Chi Min City,Holyhead,Huelva,Idku,Inchon,Ishikariwan-Shinko,Isle of Grain,Jebel Ali,Jiangsu,Johore,Jorf Lasfar,Jurong Island,Kagoshima,Kakinada,Karachi,Karwar,Khor al Zubair,Kitakyushu,Kitimat,Klaipeda,Koper,Kribi,Krk Island,Kushiro,Lahad Datu,Lake Charles,Le Havre,Lianyungang,Limassol,Limerick,Livorno,Lumut,Luwuk,Manzanillo,Map Ta Phut,Marmara Ereglisi,Marsa el Brega,Mejillones,Mina Al-Ahmadi,Mizushima,Mombasa,Montevideo,Montoir,Mossel Bay,Mozambique Port,Mundra,Nagasaki,Nanao,Naoetsu,Negishi,New Plymouth,Niigata-Higashi,Northeast Gateway,Offshore Haldia No.1 (TA),Ogishima,Oita - LNG Berth,Okinawa,Ortona,Paldiski South Harbour,Pampa Melchorita,Panjang,Pars,Pascagoula,Pecem,Pipavav,Plaquemines,Pluto LNG Jetty,Point Fortin,Pointe-a-Pitre,Port Esquivel,Port Moresby,Porto Empedocle,Prigorodnoye,Prince Rupert,Punta Europa,Pyeong Taek,Qalhat LNG Terminal,Qingdao,Qinhuangdao,Qinzhou,Quintero,Ras Laffan,Revithousa,Rio Grande,Rosarito,Rosignano LNG,Rostock,Rotterdam,Sabine Pass,Sagunto,Saint John,Sakai LNG,Sakaide,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Semarang,Senboku,Sendai,Shanghai,Shenzhen,Shimizu,Shinminato,Sines,Skikda,Sodegaura,Soma,South Hook,Soyo,Sungai Udang,Swinoujscie,Taichung,Talcahuano,Tangguh,Taranto,Teesport,Tianjin Lingang,Tobata,Tombak,Tong Yong,Trieste,Tripoli,Vladivostok,Vyborg,Wakayama,Wilhelmshaven,Yanai,Yangshan,Yokkaichi,Yung-an,Yuzhny,Zeebrugge,Zhangjiagang,Guanabara
Koper,13026,6980,14872,1029,6651,13170,14820,12020,1516,1415,7342,13188,13380,1418,13828,1515,2658,12356,5130,12968,5065,6614,13125,6531,14940,1522,5309,13985,12440,13941,7297,6080,9823,6633,8959,5185,11851,12147,14817,12045,14641,9264,12990,12859,14181,2888,5517,3063,5446,11754,7075,4787,162,2424,5024,1413,6561,12801,14530,13855,12006,1101,13977,6526,13956,5134,5172,14363,13577,13861,12338,4437,4383,14296,12064,13861,14161,13729,13157,2984,1869,1240,14675,13652,3149,12985,14702,12539,1992,12498,14372,11976,12375,11678,13390,14268,10466,4087,,5247,139,13400,13259,6519,2982,14776,1284,2966,1263,13201,13164,7865,13234,1148,1021,8212,13322,14204,9392,6915,2760,7129,8683,12236,14372,13905,13872,13847,12711,13815,4744,12246,13850,14258,14569,,4286,7541,11970,13088,6293,4753,12065,6321,12023,5178,4951,5666,14027,838,13429,10493,5179,14676,12576,14757,14933,13854,8706,13093,880,6639,8973,1262,3862,3176,6506,1475,4696,14137,14194,5250,2454,6266,5427,12302,14138,13655,14736,13915,13896,13915,2033,1148,13859,13664,2888,5535,12360,3892,14440,8902,13531,560,3371,14979,14256,13100,14304,19,1408,13939,4445,14109,3410,14285,14666,13979,14100,1541,3116,14803,
Kribi,8505,6328,10351,5171,6481,8648,10299,7498,3784,5537,4726,8666,8859,4045,9307,3784,4113,7854,214,8446,230,6445,8604,6361,10777,3771,4806,10769,7919,9419,2776,5428,9170,6463,8307,5390,7330,7625,10653,7524,10538,4743,8487,8337,10665,4343,6940,4518,5500,7233,4505,5187,5142,3879,4306,4223,6392,8279,10009,10883,7485,4551,9563,6357,9434,4601,4637,10460,11243,9340,7817,4905,5806,10614,7543,10888,10707,10980,8636,4439,3529,5342,10571,11250,4604,8463,10314,8018,3285,7977,10382,7454,7853,7157,8869,10521,9814,5543,5247,,5210,11343,8757,6366,4434,10544,5440,4394,4399,8698,8661,7229,8731,5309,4924,7324,8820,10654,4890,4364,4212,2627,4181,7733,10389,10927,10931,10875,9512,10979,5176,7743,10879,10539,10066,5070,5738,6905,7468,8586,6141,2955,7562,6169,7521,4366,4323,5238,9524,4449,11439,9857,,10570,8073,10531,10766,9351,6736,8590,5040,4138,8338,4400,5314,4628,6354,3927,5126,10677,10650,3058,2867,3823,5506,7799,10678,11084,10236,9412,10805,10938,3520,4133,10888,11067,4340,657,7857,5344,9938,6506,9028,4811,4827,10812,10513,8597,10499,5266,5564,11001,5897,10648,4862,10566,10164,10762,9597,5702,4568,10303,
Krk Island,12971,6925,14817,974,6596,13115,14765,11965,1461,1360,7287,13133,13325,1363,13773,1460,2603,12314,5075,12913,5010,6559,13070,6476,14885,1467,5254,13930,12385,13885,7242,6025,9768,6578,8904,5130,11796,12092,14761,11990,14586,9209,12948,12804,14126,2833,5462,3008,5391,11699,7020,4731,133,2369,4969,1358,6506,12745,14475,13800,11951,1046,13922,6471,13901,5079,5117,14308,13522,13806,12283,4382,4328,14241,12009,13806,14106,13674,13102,2929,1814,1185,14619,13597,3094,12930,14647,12484,1937,12443,14317,11920,12320,11623,13335,14213,10411,4032,139,5210,,13358,13217,6477,2940,14734,1242,2924,1221,13159,13122,7823,13192,1106,979,8170,13280,14162,9350,6873,2718,7087,8641,12194,14330,13863,13830,13805,12669,13773,4703,12204,13808,14216,14527,226,4244,7499,11928,13046,6251,4711,12023,6279,11981,5136,4909,5624,13985,796,13387,10451,5137,14634,12534,14715,14891,13812,8664,13051,838,6597,8931,1220,3820,3134,6464,1433,4654,14096,14152,5208,2412,6224,5386,12260,14096,13613,14694,13873,13854,13873,1991,1106,13817,13622,2846,5493,12318,3850,14398,8860,13489,518,3316,14937,14214,13058,14262,155,1366,13897,4403,14067,3368,14243,14624,13937,14058,1499,3074,14761,
Kushiro,6929,6467,8775,13324,8986,3211,8723,3861,11937,13690,10525,7091,7283,12198,2315,11937,11803,3506,11424,3075,11410,8954,2934,8898,1556,11924,8154,728,4900,2184,8605,7344,3819,8983,4531,9211,5740,6035,1433,4236,1258,8791,3701,3330,797,11772,13791,12057,8907,4959,10983,9511,13295,11572,8501,12376,8924,6703,1713,594,4941,12704,4193,8893,,8299,8269,980,,2397,4958,9665,12660,1006,5953,600,903,,2966,11832,11618,13495,1291,430,12143,6888,1318,3366,11508,3387,1114,4963,6276,5554,7293,885,3525,12821,13400,11343,13358,,2829,8892,11955,1403,13584,11635,12543,2888,2975,5555,3494,13453,13068,8745,7251,953,8948,10841,11846,8793,8246,6164,999,531,498,598,5241,441,9488,4888,602,961,1345,13214,13008,8083,3979,7017,8756,10123,5982,8737,4231,8515,8511,7874,3676,12593,408,3340,11406,1302,6508,1383,1559,2600,9130,7022,13184,11006,4519,12545,12584,12149,8879,12071,9652,887,943,10946,11149,11423,8903,3811,887,,1362,2184,649,542,11503,12278,611,,11759,10811,3509,12614,1664,9220,3113,12955,12206,1605,883,7029,931,13410,13708,636,13167,858,12382,962,1355,731,1886,13846,12088,1429,11540
Lahad Datu,4862,,6708,13184,11411,1202,6656,1794,11797,13550,10068,5023,5216,12058,,11797,12126,1438,8838,430,8824,11380,1083,11323,2327,11784,10579,2240,2833,1280,6045,9769,6512,11408,7052,11636,3673,3968,2204,1637,2088,6354,1635,1155,2207,12356,14952,12531,11332,2892,10138,11936,13155,11892,10926,12236,11350,4636,1560,2321,2874,12564,3284,11318,1261,10724,10694,2002,2681,1347,2891,12090,13819,2135,3886,2327,2203,2418,1115,12452,11542,13355,2121,2791,12617,4821,1864,1298,11297,1319,1922,2896,4208,3487,5226,2062,6236,13556,13259,8757,13217,2829,,11318,12447,2101,13452,12407,12412,663,966,,1544,13321,12937,9944,5184,2182,6504,9996,12225,6213,5802,4097,1937,2475,2479,2320,4429,2527,11914,2820,2323,2067,1595,13083,13751,9902,1471,4950,11182,10094,3915,11163,1634,10941,10937,10301,2460,12462,2986,6038,8814,2126,4440,2088,2322,1550,,4955,13053,9863,7039,12413,13327,12641,11306,11940,12078,2180,2177,9738,10880,9846,11329,1166,2180,2529,1792,1279,,2485,11533,12146,2332,2511,12353,8219,1442,13357,1494,,1238,12823,12839,2368,2060,4961,2047,13278,13577,2549,13910,2151,12875,2093,1720,2240,1191,13715,12580,1860,
Lake Charles,13658,2463,15504,6443,551,11096,15451,12635,5056,6810,6754,13819,14012,5317,11065,5056,4804,12290,6231,11447,6166,386,11713,6,10423,5043,1657,9468,13072,10986,7929,1563,5306,282,4442,1807,12483,12778,10299,11861,10124,9896,11048,11139,9664,4660,6584,4967,1360,12385,6487,2178,6414,4579,2154,5495,155,13432,10559,9338,12638,5823,9460,71,10950,1842,1808,9846,9060,11196,12969,2363,5454,9779,12696,9344,9644,9212,11746,4719,4733,6614,10157,9135,5053,13616,10185,12140,4669,12161,9855,12607,13006,12310,14022,9751,5949,5698,6519,6366,6477,8892,11318,12,4871,10280,6710,4507,5670,11617,11195,3368,12284,6579,6194,3716,13972,9707,10043,6346,4803,7780,9334,12886,9876,9409,9375,9350,8318,9319,2165,12896,9353,9761,10094,6341,5895,3044,12430,13738,484,3851,12715,397,11864,2251,2125,1261,9811,5720,8933,5996,6299,10179,13226,10261,10436,11409,4209,13743,6311,6069,4477,5671,5472,5066,67,5198,2329,9641,9697,4674,4418,5697,1366,12124,9641,9158,10239,10996,9400,9419,4606,5404,9363,9167,4656,6655,12294,5502,10513,4405,11048,6081,5084,10482,9760,13750,9808,6536,6835,9442,6055,9612,5289,9788,10232,9482,10698,6973,5005,10306,
Le Havre,12195,5525,14041,2906,4986,12339,13989,11189,1520,3273,6475,12356,12549,1781,12997,1519,621,11528,4299,12136,4234,4950,12294,4866,13485,1507,3854,12530,11609,13109,6466,4626,8368,4968,7505,3398,11020,11316,13362,11214,13187,8433,12162,12028,12726,365,2718,169,3692,10923,6209,2947,2877,618,3690,1958,4897,11969,13621,12400,11175,2287,12522,4862,13124,3715,3752,12908,12122,13030,11507,2593,1585,12841,11233,12406,12707,12275,12326,467,1196,3078,13220,12197,255,12153,13247,11708,1263,11667,12918,11144,11544,10847,12559,12813,9011,1193,2982,4434,2940,11955,12447,4871,,13335,3138,593,2098,12373,12336,6423,12406,3007,2622,6771,12495,12762,8565,6055,463,6302,7856,11408,12931,12464,12430,12405,11373,12373,2920,11418,12408,12816,13149,2768,1394,6099,11143,12261,4643,3826,11237,4670,11196,3906,3614,4154,12866,2147,11988,9051,4352,13234,11748,13316,13491,13026,7264,12265,2738,5778,7532,2099,970,284,4855,1625,2871,12696,12752,4384,1589,5406,3695,11474,12696,12213,13294,13087,12455,12474,973,1832,12418,12222,363,4707,11532,1000,13568,7460,12703,2509,477,13537,12815,12272,12863,2964,3262,12497,1553,12667,518,12843,13287,12537,13272,3400,224,13361,
Lianyungang,6130,7836,7977,14701,10363,2736,7924,3062,13314,15067,11051,6292,6484,13575,1525,13314,13179,2707,10625,2422,10611,10331,2135,10274,495,13301,9531,1026,4101,1386,7806,8721,5191,10360,5902,10588,4941,5237,371,3628,361,7992,3226,2854,706,13148,15167,13434,10284,4161,11509,10888,14672,12948,9877,13753,10301,5905,870,1141,4142,14081,4344,10270,,9676,9646,491,1300,1598,4159,11041,14037,714,5154,1147,818,1251,2168,13208,12995,14872,,1321,13520,6089,377,2567,12884,2588,660,4165,5477,4756,6494,592,4898,14197,14776,10544,14734,1403,2101,10280,13335,,14959,13010,13918,2098,2500,6923,2696,14827,14443,10098,6453,763,8150,11367,13221,7995,7447,5365,568,996,1000,1136,,1045,10863,4089,1140,667,763,14589,14383,9451,3180,6219,10131,11498,5184,10112,3625,9889,9886,9249,3801,13968,1486,4711,10607,392,5709,149,,1801,10316,6223,14559,11532,5888,13919,13959,13524,10254,13446,11027,840,758,11531,12523,11640,10277,3057,840,1359,462,1385,1069,1007,12878,13652,1149,1341,13133,10012,2710,13989,828,10242,2760,14330,13583,536,588,6230,544,14784,15083,1047,14542,854,13757,668,,1022,1087,15221,13463,530,
Limassol,13200,7155,15047,562,6825,13344,14994,12194,1690,203,7516,13362,13554,1593,14002,1689,2832,12545,5305,13142,5239,6789,13299,6705,15114,1697,5483,14159,12615,14115,7471,6255,9997,6807,9134,5360,12026,12321,14991,12220,14816,9439,13179,13033,14355,3062,5691,3237,5620,11928,7249,4961,1179,2598,5199,1588,6736,12975,14705,14029,12180,1277,14151,6701,14130,5309,5347,14538,13751,14035,12512,4612,4557,14471,12238,14035,14336,13904,13332,3158,2044,266,14849,13827,3323,13159,14876,12714,2166,12673,14547,12150,12549,11853,13565,14443,10640,4262,1284,5440,1242,13584,13452,6710,3138,14959,,3155,1454,13389,13353,8054,13423,717,830,8401,13511,14393,9581,7104,2949,7318,8872,12425,14561,14094,14061,14035,12900,14004,4933,12435,14039,14447,14758,1102,4475,7730,12159,13277,6482,4942,12254,6510,12212,5367,5140,5855,14216,1015,13618,10682,5368,14865,12765,14946,15122,14043,8895,13282,550,6828,9162,1453,4051,3365,6695,1664,4885,14326,14383,5439,2643,6455,5616,12491,14327,13844,14925,14104,14085,14104,2222,1337,14048,13853,3077,5724,12549,4081,14629,9091,13720,912,3546,15168,14445,13289,14493,1298,142,14128,4634,14298,3599,14474,14855,14167,14289,1110,3304,14992,
Limerick,12155,5206,14001,2890,4622,12298,13948,11148,1503,3257,6383,12316,12509,1764,12957,1503,711,11504,4259,12096,4193,4585,12254,4502,13165,1490,3545,12211,11569,13069,6426,4306,8048,4604,7185,3028,10980,11275,13042,11174,12867,8393,12138,11987,12407,352,2681,692,3322,10883,6116,2577,2861,638,,1942,4533,11929,13301,12081,11135,2270,12202,4497,13084,3420,3458,12589,11803,12990,11467,2223,1547,12522,11193,12086,12387,11955,12286,411,1180,3061,12900,11878,778,12113,12928,11668,1247,11627,12598,11104,11503,10807,12519,12494,8692,1534,2966,4394,2924,11635,12407,4507,593,13010,3155,,2105,12348,12311,6111,12381,3014,2629,6458,12470,12450,8540,5975,585,6277,7831,11384,12618,12151,12117,12092,11060,12061,2553,11394,12095,12504,12836,2776,1731,5786,11118,12236,4282,3718,11212,4309,11171,3640,,3828,12553,2155,11675,8738,4327,12921,11724,13003,13178,13001,6951,12241,2746,5699,7219,2106,1307,792,4494,1633,2504,12383,12440,4303,1563,5326,3328,11449,12384,11901,12981,13063,12142,12161,980,1839,12105,11910,346,4682,11507,1337,13256,7147,12679,2516,920,13224,12502,12247,12550,2971,3269,12184,1890,12354,1025,12530,12974,12224,13248,3407,731,13049,
Livorno,12160,6114,14006,1189,5785,12304,13954,11154,676,1554,6476,12322,12514,392,12962,676,1792,11510,4264,12102,4199,5748,12259,5665,14074,642,4443,13119,11575,13075,6431,5214,8957,5767,8093,4319,10985,11281,13951,11179,13775,8398,12143,11993,13315,2022,4651,2197,4580,10888,6209,3921,1158,1558,4158,257,5695,11935,13664,12989,11140,438,13111,5660,13090,4268,4306,13497,12711,12995,11472,3571,3517,13430,11198,12995,13295,12863,12291,2118,1003,1360,13809,12786,2283,12119,13836,11673,1126,11632,13506,11110,11509,10812,12524,13402,9600,3221,1263,4399,1221,12543,12412,5670,2098,13918,1454,2105,,12354,12317,7018,12387,1323,950,7366,12476,13357,8546,6068,1914,6283,7837,11389,13526,13058,13025,13000,11864,12968,3898,11399,13003,13411,13722,1083,3439,6694,11124,12242,5447,3906,11218,5474,11177,4331,4104,4819,13180,453,12583,9646,4333,13829,11729,13910,14086,13007,7859,12246,1054,5792,8127,17,3015,2330,5659,533,3849,13291,13347,4403,1607,5419,4581,11455,13291,12808,13889,13068,13050,13069,1186,454,13013,12817,2041,4688,11513,3046,13593,8055,12684,823,2505,14132,13410,12253,13458,1278,1578,13092,3598,13262,2563,13438,13820,13132,13253,1716,2269,13956,
Lumut,4294,9151,6140,13125,11700,1620,6088,1226,11738,13491,10062,4455,4648,11999,720,11738,12067,870,8779,984,8765,11668,593,11611,2325,11725,10868,2290,2264,1170,5964,10057,6620,11697,7295,11925,3105,3400,2202,2177,2086,6156,2110,1709,2205,12297,14893,12472,11620,2324,10052,12224,13096,11833,11214,12177,11638,4068,1557,2405,2306,12505,3684,11607,1181,11012,10983,2000,2765,1116,2322,12378,13760,2143,3317,2410,2230,2502,626,12393,11483,13296,2119,2789,12558,4252,1862,730,11239,751,1920,2328,3640,2919,4658,2060,6347,13497,13201,8698,13159,2888,663,11617,12373,2098,13389,12348,12354,,1384,8242,1024,13258,12873,10343,4616,2190,6313,9916,12162,6138,5610,3528,1935,2473,2477,2403,4829,2525,12203,2252,2407,2074,1593,13019,13687,10302,1282,4382,11471,10030,3347,11452,2174,11229,11225,10589,2880,12398,2984,6161,8750,2124,3872,2085,2320,1148,9966,4386,12989,9800,7281,12350,13263,12578,11594,11876,12366,2206,2185,9674,10816,9783,11617,1160,2206,2612,1790,1169,2332,2483,11469,12083,2416,2595,12289,8155,873,13294,1492,9777,1656,12760,12781,2366,2058,4393,2045,13215,13513,2547,13846,2177,12811,2101,1718,2289,1186,13651,12517,1858,
Luwuk,5182,8815,7029,13088,11278,454,6976,2208,11701,13455,9604,5344,5536,11962,,11701,12030,1852,8742,995,8728,11246,1804,11189,2727,11688,10446,2408,3247,1869,5949,9636,6487,11275,7021,11503,3993,4289,2604,1434,2458,6258,925,528,2518,12260,14857,12435,11198,3306,10042,11802,13059,11797,10792,12140,11216,4957,1989,2475,3288,12468,2759,11185,1850,10590,10561,2329,2827,1937,3305,11956,13723,2332,4206,2481,2384,2565,1836,12356,11446,13259,2491,3100,12521,5141,2265,1713,11202,1734,2135,3310,4529,3808,5547,2330,6293,13460,13164,8661,13122,2975,966,11195,12336,2500,13353,12311,12317,1384,,7916,2265,13226,12841,9552,5496,2378,6409,9901,12130,6117,5706,4409,2214,2783,2787,2473,3948,2835,11781,3235,2477,2263,1827,12987,13655,9591,1454,5262,11049,9998,4227,11030,1430,10807,10804,10167,1713,12366,3295,6115,8718,2497,4752,2487,2723,2140,9117,5267,12957,9767,7008,12317,13231,12546,11172,11844,11945,2360,2374,9642,10784,9751,11195,1149,2361,2675,2200,1869,2429,2794,11437,12051,2486,2657,12257,8123,1856,13261,1924,8926,644,12728,12744,2769,2327,5274,2359,13183,13481,2860,13814,2331,12779,2290,2131,2410,1712,13619,12485,2267,
Manzanillo,12365,932,14211,7789,3451,7967,14159,9297,6403,8156,6047,12526,12719,6664,7726,6402,6268,8933,7094,8126,7029,3420,8375,3363,7078,6389,2619,6131,10336,7648,8673,1809,1968,3448,1105,3677,11176,11471,6955,8831,6780,10641,8010,8085,6320,6237,8256,6523,3372,10395,6505,3976,7760,6037,2966,6841,3390,12139,7221,6001,10377,7170,6666,3359,7613,2764,2734,6502,5723,7858,10394,4130,7125,6441,11389,6006,6306,5875,8407,6297,6083,7961,6813,5798,6609,12324,6841,8801,5973,8822,6517,10399,11711,10990,12729,6407,2612,7286,7865,7229,7823,5555,,3368,6423,6923,8054,6111,7018,8242,7916,,8935,7918,7533,3222,12687,6356,10780,6363,6311,8517,10071,11600,6520,6053,6020,6002,,5963,3953,10324,6005,6412,6746,7679,7473,2557,9109,12453,3221,4588,11418,3202,8825,2980,2976,2340,6773,7058,5585,2648,7155,6824,11943,6905,7081,8061,3638,12458,7649,6527,1129,7010,7049,6614,3345,6536,4117,6290,6346,5411,5614,6434,3368,8804,6290,5810,6884,7648,6052,6063,5968,6743,6015,5819,6224,7474,8945,7079,7164,3789,7776,7420,6672,7127,6404,12464,6452,7875,8173,6094,7632,6261,6848,6439,6877,6134,7350,8311,6553,6951,6023
Map Ta Phut,4317,9847,6164,13158,12367,2374,6111,1249,11771,13525,10086,4479,4671,12032,1485,11771,12100,886,8812,1865,8798,12336,725,12279,2922,11758,11535,2925,2288,1560,5993,10725,7255,12364,7935,12593,3128,3424,2799,2367,2683,6179,2612,2179,2810,12330,14927,12506,12288,2348,10075,12892,13129,11867,11787,12210,12306,4092,2155,3040,2329,12539,4565,12275,1575,11680,11650,2606,3392,1481,2346,12882,13793,2759,3341,3046,2859,3137,758,12427,11516,13330,2716,3395,12591,4276,2459,754,11272,775,2528,2352,3664,2943,4681,2666,6982,13530,13234,8731,13192,3494,1544,12284,12406,2696,13423,12381,12387,1024,2265,8935,,13302,12917,11225,4640,2806,6337,9940,12206,6182,5634,3552,2540,3079,3083,3039,5710,3131,12869,2276,3042,2690,2228,13063,13731,11183,1472,4406,12138,10074,3371,12119,2364,11771,11856,11256,3525,12442,3590,6797,8794,2721,3896,2683,2917,1498,10847,4410,13033,9843,7923,12393,13307,12621,12261,11920,13033,2838,2801,9718,10860,9827,12284,1350,2839,3248,2387,1559,2968,3089,11513,12127,3051,3230,12333,8199,897,13337,2089,10658,2537,12804,12814,2963,2664,4417,2650,13259,13557,3152,13890,2809,12855,2717,2315,2924,1748,13695,12561,2455,
Marmara Ereglisi,13069,7023,14916,243,6694,13213,14863,12063,1559,845,7385,13231,13423,1465,13871,1558,2701,12421,5173,13011,5108,6658,13168,6574,14983,1566,5352,14028,12484,13984,7340,6124,9866,6676,9003,5229,11895,12190,14860,12089,14685,9308,13050,12902,14224,2931,5560,3106,5489,11797,7118,4830,1043,2467,5068,1461,6605,12844,14574,13898,12049,1146,14020,6570,13999,5178,5216,14407,13620,13904,12381,4481,4426,14340,12107,13904,14205,13773,13201,3027,1913,720,14718,13696,3192,13028,14745,12583,2035,12542,14416,12019,12418,11722,13434,14312,10509,4131,1148,5309,1106,13453,13321,6579,3007,14827,717,3014,1323,13258,13226,7918,13302,,809,8272,13382,14263,9452,6974,2820,7189,8743,12295,14432,13965,13931,13906,12771,13875,4804,12306,13909,14317,14628,969,4345,7600,12030,13148,6353,4813,12124,6380,12083,5237,5010,5725,14086,885,13489,10552,5239,14735,12636,14817,14992,13913,8765,13153,347,6698,9033,1324,3922,3236,6565,1535,4756,14197,14254,5309,2513,6326,5487,12361,14198,13714,14795,13974,13956,13975,2092,1208,13919,13723,2948,5594,12419,3952,14500,8961,13591,779,3415,15038,14316,13159,14364,1165,843,13998,4505,14168,3469,14344,14726,14038,14159,417,3175,14863,
Marsa el Brega,12685,6639,14531,674,6309,12828,14478,11678,1174,904,7000,12846,13039,1077,13486,1173,2316,12036,4789,12626,4723,6273,12784,6189,14598,1181,4968,13643,12099,13599,6956,5739,9481,6291,8618,4844,11510,11805,14475,11704,14300,8923,12663,12517,13840,2546,5175,2721,5104,11412,6733,4445,916,2083,4683,1072,6220,12459,14189,13513,11665,774,13635,6185,13614,4793,4831,14022,13236,13520,11996,4096,4042,13955,11722,13519,13820,13388,12816,2642,1528,693,14333,13311,2807,12643,14361,12198,1650,12157,14031,11634,12033,11337,13049,13927,10125,3746,1021,4924,979,13068,12937,6194,2622,14443,830,2629,950,12873,12841,7533,12917,809,,7885,12995,13877,9065,6587,2433,6802,8356,11909,14045,13578,13544,13519,12384,13488,4417,11919,13522,13930,14241,840,3959,7213,11643,12761,5966,4426,11737,5993,11696,4850,4623,5338,13699,517,13102,10165,4852,14348,12249,14430,14605,13526,8378,12766,539,6311,8646,950,3535,2849,6178,1148,4369,13810,13867,4922,2126,5939,5100,11974,13811,13328,14408,13587,13569,13588,1705,821,13532,13337,2561,5207,12032,3565,14113,8574,13204,616,3030,14651,13929,12772,13977,1036,954,13611,4118,13781,3082,13957,14339,13651,13773,1200,2788,14476,
Mejillones,11705,2484,13551,8137,3799,9157,13498,10620,6750,8503,3319,11866,12059,7011,10196,6750,6616,10872,7311,10029,7265,3767,10763,3711,10254,6737,2967,9275,11118,10603,6237,2157,5159,3796,4296,4024,10530,10825,10130,9220,9955,8093,9101,9199,9495,6585,8603,6870,3720,10432,3778,4324,8108,6385,3314,7189,3737,11479,10320,9145,10684,7517,7172,3706,10568,3112,3082,9677,8913,10786,11016,4477,7473,9573,10743,9151,9438,9065,10796,6644,6431,8308,9988,8988,6956,11663,10016,10740,6320,10761,9639,10653,11053,10357,12069,9582,5802,7634,8212,7324,8170,8745,9944,3716,6771,10098,8401,6458,7366,10343,9552,3222,11225,8272,7885,,12018,9488,8243,3635,6667,6088,7534,10935,9745,9229,9196,9192,5741,9139,4309,10944,9196,9543,9810,8036,7829,701,10025,11784,3578,4944,10764,3559,9217,3336,3332,2696,7904,7415,8775,5839,7346,9999,11275,10081,10257,10989,624,11789,8006,3800,4319,7366,7405,6970,3701,6893,4473,9421,9478,5163,5970,4217,3724,10177,9422,9001,10059,10603,9242,9239,6325,7099,9205,9010,6580,6968,10883,7435,10255,857,9515,7776,7019,10303,9580,11796,9628,8231,8529,9285,7988,9392,7204,9570,10052,9324,10303,8667,6909,10127,
Mina Al-Ahmadi,462,13599,3245,13247,14056,5534,3192,3401,11860,13613,10174,287,1752,12121,5230,11860,12189,3759,8900,5203,8886,14024,4506,13967,6679,11847,12390,6671,3605,5322,6082,12916,11000,14053,11685,13339,1588,1517,6556,5060,6440,6268,5628,5327,6567,12419,15015,12594,13331,2919,10164,13210,13218,11955,11875,12299,13994,605,5912,6785,3171,12627,7688,13963,5337,12210,12238,6362,7145,5242,3503,12970,13882,6516,1551,6791,6610,6882,4539,12515,11605,13418,6473,7152,12680,459,6216,3921,11360,3880,6285,3140,1117,1732,176,6423,10727,13618,13322,8820,13280,7251,5184,13972,12495,6453,13511,12470,12476,4616,5496,12687,4640,13382,12995,12018,,6550,6414,10018,12283,6259,5712,1302,6285,6823,6827,6771,8319,6875,13194,3424,6775,6435,5962,13141,13809,12556,4080,266,13832,10152,1436,13812,5053,11849,11934,12763,6638,12520,7335,10530,8872,6466,794,6427,6662,5247,11426,360,13111,9921,11660,12471,13385,12699,13955,11998,13170,6573,6546,9796,10938,9904,13332,4422,6574,6980,6132,5308,6701,6834,11591,12204,6784,6963,12411,8277,3753,13415,5834,11197,5860,12881,12902,6708,6409,253,6395,13336,13635,6897,13968,6544,12933,6462,6060,6658,5493,13773,12638,6199,
Mizushima,6240,7268,8087,14128,9790,2614,8034,3172,12742,14495,10675,6402,6594,13003,1616,12741,12607,2809,10735,2454,10721,9759,2245,9702,918,12728,8958,317,4211,1496,7917,8148,4660,9787,5346,10016,5052,5347,795,3639,620,8102,3106,2732,416,12576,14595,12862,9711,4271,11134,10315,14099,12376,9305,13180,9729,6015,1052,433,4252,13509,3959,9698,1460,9103,9073,359,805,1708,4269,10469,13464,105,5264,439,69,542,2278,12636,12423,14300,653,964,12948,6199,671,2677,12312,2698,349,4275,5587,4866,6605,179,4387,13625,14204,10654,14162,953,2182,9707,12762,763,14393,12450,13357,2190,2378,6356,2806,14263,13877,9488,6550,,8262,10990,12642,8107,7559,5477,340,639,643,424,5018,691,10284,4201,427,141,622,14010,13804,8869,3292,6331,9553,10919,5296,9533,3636,9311,9307,8671,3429,13389,1160,4196,10719,666,5821,747,923,1913,9621,6335,13981,11154,5330,13341,13380,12945,9676,12867,10448,92,10,11643,11945,11572,9699,3174,92,646,716,1497,357,650,12299,13074,437,629,12555,10124,2822,13410,998,9575,2577,13751,13011,969,178,6342,326,14206,14504,743,13963,106,13179,112,709,310,1199,14642,12884,783,
