from,Acajutla,Aliaga,Altamira,Arzew,Ashdod,Barcelona,Bethioua,Bilbao,Bonny,Brass,Brownsville,Cameron,Cape Town,Cartagena,Caucedo,Coega,Corpus Christi,Cove Point,Damietta,Dar-es-Salaam,Dragon,Drovyanoy,Dunkirk,Everett,Falconara,Ferrol,Fort de France,Fos - Cavaou,Fos Sur Mer,Freeport,Gibraltar,Gioia Tauro,Golden Pass,Guanabara,Guayama,Guayanilla,Gulf Gateway,Hadera,Halifax,Hammerfest,Holyhead,Huelva,Idku,Isle of Grain,Jorf Lasfar,Klaipeda,Koper,Kribi,Krk Island,Lake Charles,Le Havre,Limassol,Limerick,Livorno,Malta,Marmara Ereglisi,Marsa el Brega,Mombasa,Montoir,Mossel Bay,Mozambique Port,Neptune,Northeast Gateway,Ortona,Paldiski South Harbour,Panigaglia,Pascagoula,Pecem,Plaquemines,Point Fortin,Pointe-a-Pitre,Port Arthur,Port Dolphin,Port Esquivel,Port Said,Porto Empedocle,Puerto Bahia,Punta Europa,Quebec,Revithoussa,Rio Grande,Rosignano,Rostock,Rotterdam,Rovigo,Sabine Pass,Sagunto,Saint John,Salvador,Santa Cruz de Tenerife,Sao Francisco do Sul,Savannah,Shtokman,Sines,Skikda,South Hook,Soyo,Swinoujscie,Taranto,Teesport,Trieste,Tripoli,Vyborg,Wilhelmshaven,Yuzhny,Zeebrugge,Boryeong,Caofeidian,Chita,Coos Bay,Costa Azul,Dalian,Dangjin,Donghae,Fukuoko,Futtsu,Gladstone,Gwangyang,Hachinohe,Hakodate,Hatsukaichi,Heibei,Hibiki,Higashi-Ogishima,Himeji,Hitachi,Inchon,Ishikariwan-Shinko,Jiangsu,Joetsu,Kagoshima,Kawagoe,Kenai,Kitakyushu,Kitimat,Kushiro,Kwangyang,Lianyungang,Manzanillo,Mejillones,Mizushima,Nagasaki,Nanao,Naoetsu,Negishi,Niigata-Higashi,Niigata-Nishi,Ogishima,Oita,Osaka,Pampa Melchorita,Prigorodnoye,Prince Rupert,Pyeong Taek,Qingdao,Qinhuangdao,Quintero,Rosarito,Sakai,Sakaide,Samcheog,Senboku,Sendai,Shanghai,Shimizu,Shinminato,Sodegaura,Soma,Talcahuano,Tangshan,Tianjin (Sinopec),Tianjin Lingang,Tobata,Tokyo Bay,Tong Yong,Vladivostok,Wakayama,Yanai,Yokkaichi,Yokohama,Zhangjiagang,Ambon,Arun,Barrow Island,Batangas,Bei Hai,Bintulu,Bladin Point,Bontang,Cai Mep,Chiwan,Dampier,Darwin,Dili,Fujian,Guangdong,Haikou,Hainan,Ho Chi Min City,Ichthys,Jakarta,Johore,Karratha,Lahad Datu,Lumut,Luwuk,Malacca,Map Ta Phut,New Plymouth,Ningbo,Okinawa,Onslow,Panjang,Pluto,Port Moresby,Prelude FLNG,Qinzhou,Semarang,Seria,Shenzhen,Singapore,Sungai Udang,Tabangao,Taichung,Tangguh,Yangpu,Yangshan,Yuedong,Yung An,Zhoushan,Zhuhai
Guangdong,,,11043.429,,,,,,,,11011.853,10955.111,,,10208.444,,11040.471,11268.998,,,,,,11563.607,,,10558.461,,,10981.776,,,10950.611,,10356.717,10326.774,10842.774,,11722.345,,,,,,,,,,,10960.397,,,,,,,,,,,,11550.562,11550.010,,,,10821.248,,10805.329,10579.157,10575.656,10957.161,10750.811,9943.083,,,9672.493,,12490.294,,,,,,,10947.536,,11712.838,,,,10964.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guayama,1862.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9497.766,9838.990,8867.758,4705.420,3842.237,9699.271,9524.169,9063.809,9373.517,8737.713,8847.534,9246.011,8459.896,8482.041,9178.999,9838.990,9148.473,8743.371,9044.114,8612.691,9564.250,8534.417,9584.841,8764.329,9255.200,8869.068,6104.383,9151.034,5348.774,8292.205,9246.011,9666.502,2757.278,3113.546,9088.293,9264.946,8797.787,8764.329,8736.548,8707.721,8710.391,8739.213,9153.508,9023.437,2442.841,8312.515,5385.456,9561.284,9647.860,9817.978,3608.962,3865.963,9020.391,9080.351,9063.809,9020.982,8547.631,9628.005,8784.502,8807.995,8746.849,8556.590,3802.186,9838.990,9867.165,9867.165,9148.945,8750.360,9197.396,8831.275,8991.922,9176.677,8869.010,8738.284,9695.128,10496.758,,,10464.632,10790.157,11150.635,10441.106,10846.733,11113.025,10384.428,,10441.106,10538.980,9958.647,10348.876,10595.308,10593.691,11140.389,10441.106,,,,10714.036,11002.712,10585.715,,11673.570,7717.257,9674.488,9499.552,,,,9203.711,10686.584,10793.954,,10997.425,10383.327,,,10464.632,9908.195,10438.410,10666.893,9622.525,10348.876,10086.749,9651.029,10394.807
Guayanilla,1832.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9467.715,9808.939,8837.707,4675.369,3812.186,9669.220,9494.118,9033.758,9343.466,8707.662,8817.483,9215.960,8429.845,8451.990,9148.948,9808.939,9118.422,8713.320,9014.063,8582.640,9534.199,8504.366,9554.790,8734.278,9225.149,8839.017,6074.332,9120.983,5318.723,8262.154,9215.960,9636.451,2727.227,3083.495,9058.242,9234.895,8767.736,8734.278,8706.497,8677.670,8680.340,8709.162,9123.457,8993.386,2412.790,8282.464,5355.405,9531.233,9617.809,9787.927,3578.911,3835.912,8990.340,9050.300,9033.758,8990.931,8517.580,9597.954,8754.451,8777.944,8716.798,8526.539,3772.135,9808.939,9837.114,9837.114,9118.894,8720.309,9167.345,8801.224,8961.871,9146.626,8838.959,8708.233,9665.077,10466.707,,,10434.581,10760.106,11120.584,10411.055,10816.682,11082.974,10354.377,,10411.055,10508.929,9928.596,10318.825,10565.257,10563.640,11110.338,10411.055,,,,10683.985,10972.661,10555.664,,11643.519,7687.206,9644.437,9469.501,,,,9173.660,10656.533,10763.903,,10967.374,10353.276,,,10434.581,9878.144,10408.359,10636.842,9592.474,10318.825,10056.698,9620.978,10364.756
Gulf Gateway,2346.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9981.112,10322.336,9351.104,5188.766,4325.583,10182.617,10007.515,9547.155,9856.863,9221.059,9330.880,9729.357,8943.242,8965.387,9662.345,10322.336,9631.819,9226.717,9527.460,9096.037,10047.596,9017.763,10068.187,9247.675,9738.546,9352.414,6587.729,9634.380,5832.120,8775.551,9729.357,10149.848,3240.624,3596.892,9571.639,9748.292,9281.133,9247.675,9219.894,9191.067,9193.737,9222.559,9636.854,9506.783,2926.187,8795.861,5868.802,10044.630,10131.206,10301.324,4092.308,4349.309,9503.737,9563.697,9547.155,9504.328,9030.977,10111.351,9267.848,9291.341,9230.195,9039.936,4285.532,10322.336,10350.511,10350.511,9632.291,9233.706,9680.742,9314.621,9475.268,9660.023,9352.356,9221.630,10178.474,10980.104,12518.396,11716.480,10947.978,11273.503,11633.981,10924.452,11330.079,11596.371,10867.774,11744.745,10924.452,11022.326,10441.993,10832.222,11078.654,11077.037,11623.735,10924.452,12198.263,12031.098,11740.680,11197.382,11486.058,11069.061,12154.591,12156.916,8200.603,10157.834,9982.898,11610.635,12305.575,11741.631,9687.057,11169.930,11277.300,12000.604,11480.771,10866.673,12043.988,12157.300,10947.978,10391.541,10921.756,11150.239,10105.871,10832.222,10570.095,10134.375,10878.153
Gwangyang,,14279.082,9940.857,12892.876,14647.330,13153.431,12892.352,12757.951,,,9909.281,9852.539,,12879.327,9105.872,,9937.899,10166.426,14525.936,,12722.503,14675.774,13006.181,10461.035,14249.793,12526.992,9455.889,13331.081,13334.173,9879.204,12639.049,13659.521,9848.039,,9254.145,9224.202,9740.202,14638.683,10619.773,13532.305,12781.760,12574.142,14450.487,13099.689,12462.766,13773.228,14354.812,,14312.824,9857.825,12913.146,14543.716,12595.401,13499.056,13624.374,14414.291,14027.348,,12809.369,,,10447.990,10447.438,14180.317,13971.534,13515.272,9718.676,11085.152,9702.757,9476.585,9473.084,9854.589,9648.239,8840.511,14549.681,13555.693,8569.921,,11387.722,14147.385,,13509.514,13548.383,13117.415,14340.240,9844.964,13040.317,10610.266,,12120.096,,9862.296,13840.066,12466.439,13238.431,12719.401,,13577.863,13914.869,13156.565,14356.872,14667.906,14134.775,13350.235,14805.794,13054.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hachinohe,,13492.674,9154.449,12106.468,13860.922,12367.023,12105.944,11971.543,,,9122.873,9066.131,,12092.919,8319.464,,9151.491,9380.018,13739.528,,11936.095,13889.366,12219.773,9674.627,13463.385,11740.584,8669.481,12544.673,12547.765,9092.796,11852.641,12873.113,9061.631,,8467.737,8437.794,8953.794,13852.275,9833.365,12745.897,11995.352,11787.734,13664.079,12313.281,11676.358,12986.820,13568.404,,13526.416,9071.417,12126.738,13757.308,11808.993,12712.648,12837.966,13627.883,13240.940,,12022.961,,,9661.582,9661.030,13393.909,13185.126,12728.864,8932.268,10298.744,8916.349,8690.177,8686.676,9068.181,8861.831,8054.103,13763.273,12769.285,7783.513,,10601.314,13360.977,,12723.106,12761.975,12331.007,13553.832,9058.556,12253.909,9823.858,11122.094,11333.688,,9075.888,13053.658,11680.031,12452.023,11932.993,,12791.455,13128.461,12370.157,13570.464,13881.498,13348.367,12563.827,14019.386,12267.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadera,7250.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14885.146,15226.370,14255.138,10092.800,9229.617,15086.651,14911.549,14451.189,14760.897,14125.093,14234.914,14633.391,13847.276,13869.421,14566.379,15226.370,14535.853,14130.751,14431.494,14000.071,14951.630,13921.797,14972.221,14151.709,14642.580,14256.448,11491.763,14538.414,10736.154,13679.585,14633.391,15053.882,8144.658,8500.926,14475.673,14652.326,14185.167,14151.709,14123.928,14095.101,14097.771,14126.593,14540.888,14410.817,7830.221,13699.895,10772.836,14948.664,15035.240,15205.358,8996.342,9253.343,14407.771,14467.731,14451.189,14408.362,13935.011,15015.385,14171.882,14195.375,14134.229,13943.970,9189.566,15226.370,15254.545,15254.545,14536.325,14137.740,14584.776,14218.655,14379.302,14564.057,14256.390,14125.664,15082.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haikou,,,11285.774,,,,,,,,11254.198,11197.456,,,10450.789,,11282.816,11511.343,,,,,,11805.952,,,10800.806,,,11224.121,,,11192.956,,10599.062,10569.119,11085.119,,11964.690,,,,,,,,,,,11202.742,,,,,,,,,,,,11792.907,11792.355,,,,11063.593,,11047.674,10821.502,10818.001,11199.506,10993.156,10185.428,,,9914.838,,12732.639,,,,,,,11189.881,,11955.183,,,,11207.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hainan,,,11271.221,,,,,,,,11239.645,11182.903,,,10436.236,,11268.263,11496.790,,,,,,11791.399,,,10786.253,,,11209.568,,,11178.403,,10584.509,10554.566,11070.566,,11950.137,,,,,,,,,,,11188.189,,,,,,,,,,,,11778.354,11777.802,,,,11049.040,,11033.121,10806.949,10803.448,11184.953,10978.603,10170.875,,,9900.285,,12718.086,,,,,,,11175.328,,11940.630,,,,11192.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakodate,,13514.819,9176.594,12128.613,13883.067,12389.168,12128.089,11993.688,,,9145.018,9088.276,,12115.064,8341.609,,9173.636,9402.163,13761.673,,11958.240,13911.511,12241.918,9696.772,13485.530,11762.729,8691.626,12566.818,12569.910,9114.941,11874.786,12895.258,9083.776,,8489.882,8459.939,8975.939,13874.420,9855.510,12768.042,12017.497,11809.879,13686.224,12335.426,11698.503,13008.965,13590.549,,13548.561,9093.562,12148.883,13779.453,11831.138,12734.793,12860.111,13650.028,13263.085,,12045.106,,,9683.727,9683.175,13416.054,13207.271,12751.009,8954.413,10320.889,8938.494,8712.322,8708.821,9090.326,8883.976,8076.248,13785.418,12791.430,7805.658,,10623.459,13383.122,,12745.251,12784.120,12353.152,13575.977,9080.701,12276.054,9846.003,11144.239,11355.833,,9098.033,13075.803,11702.176,12474.168,11955.138,,12813.600,13150.606,12392.302,13592.609,13903.643,13370.512,12585.972,14041.531,12289.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax,3222.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10857.797,11199.021,10227.789,6065.451,5202.268,11059.302,10884.200,10423.840,10733.548,10097.744,10207.565,10606.042,9819.927,9842.072,10539.030,11199.021,10508.504,10103.402,10404.145,9972.722,10924.281,9894.448,10944.872,10124.360,10615.231,10229.099,7464.414,10511.065,6708.805,9652.236,10606.042,11026.533,4117.309,4473.577,10448.324,10624.977,10157.818,10124.360,10096.579,10067.752,10070.422,10099.244,10513.539,10383.468,3802.872,9672.546,6745.487,10921.315,11007.891,11178.009,4968.993,5225.994,10380.422,10440.382,10423.840,10381.013,9907.662,10988.036,10144.533,10168.026,10106.880,9916.621,5162.217,11199.021,11227.196,11227.196,10508.976,10110.391,10557.427,10191.306,10351.953,10536.708,10229.041,10098.315,11055.159,11856.789,,,11824.663,12150.188,12510.666,11801.137,12206.764,12473.056,11744.459,,11801.137,11899.011,11318.678,11708.907,11955.339,11953.722,12500.420,11801.137,,,,12074.067,12362.743,11945.746,,,9077.288,11034.519,10859.583,,,,10563.742,12046.615,12153.985,,12357.456,11743.358,,,11824.663,11268.226,11798.441,12026.924,10982.556,11708.907,11446.780,11011.060,11754.838
Hammerfest,6138.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13773.283,14114.507,13143.275,8980.937,8117.754,13974.788,13799.686,13339.326,13649.034,13013.230,13123.051,13521.528,12735.413,12757.558,13454.516,14114.507,13423.990,13018.888,13319.631,12888.208,13839.767,12809.934,13860.358,13039.846,13530.717,13144.585,10379.900,13426.551,9624.291,12567.722,13521.528,13942.019,7032.795,7389.063,13363.810,13540.463,13073.304,13039.846,13012.065,12983.238,12985.908,13014.730,13429.025,13298.954,6718.358,12588.032,9660.973,13836.801,13923.377,14093.495,7884.479,8141.480,13295.908,13355.868,13339.326,13296.499,12823.148,13903.522,13060.019,13083.512,13022.366,12832.107,8077.703,14114.507,14142.682,14142.682,13424.462,13025.877,13472.913,13106.792,13267.439,13452.194,13144.527,13013.801,13970.645,,,,,,,,,,,,,,14234.164,,,,,,,,,,,,,,11992.774,13950.005,13775.069,,,,13479.228,,,,,,,,,14183.712,,,13898.042,,14362.266,13926.546,
Hatsukaichi,,14218.662,9880.437,12832.456,14586.910,13093.011,12831.932,12697.531,,,9848.861,9792.119,,12818.907,9045.452,,9877.479,10106.006,14465.516,,12662.083,14615.354,12945.761,10400.615,14189.373,12466.572,9395.469,13270.661,13273.753,9818.784,12578.629,13599.101,9787.619,,9193.725,9163.782,9679.782,14578.263,10559.353,13471.885,12721.340,12513.722,14390.067,13039.269,12402.346,13712.808,14294.392,,14252.404,9797.405,12852.726,14483.296,12534.981,13438.636,13563.954,14353.871,13966.928,,12748.949,,,10387.570,10387.018,14119.897,13911.114,13454.852,9658.256,11024.732,9642.337,9416.165,9412.664,9794.169,9587.819,8780.091,14489.261,13495.273,8509.501,,11327.302,14086.965,,13449.094,13487.963,13056.995,14279.820,9784.544,12979.897,10549.846,,12059.676,,9801.876,13779.646,12406.019,13178.011,12658.981,,13517.443,13854.449,13096.145,14296.452,14607.486,14074.355,13289.815,14745.374,12993.810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heibei,,14877.661,10539.436,13491.455,15245.909,13752.010,13490.931,13356.530,,,10507.860,10451.118,,13477.906,9704.451,,10536.478,10765.005,15124.515,,13321.082,15274.353,13604.760,11059.614,14848.372,13125.571,10054.468,13929.660,13932.752,10477.783,13237.628,14258.100,10446.618,,9852.724,9822.781,10338.781,15237.262,11218.352,14130.884,13380.339,13172.721,15049.066,13698.268,13061.345,14371.807,14953.391,,14911.403,10456.404,13511.725,15142.295,13193.980,14097.635,14222.953,15012.870,14625.927,,13407.948,,,11046.569,11046.017,14778.896,14570.113,14113.851,10317.255,11683.731,10301.336,10075.164,10071.663,10453.168,10246.818,9439.090,15148.260,14154.272,9168.500,,11986.301,14745.964,,14108.093,14146.962,13715.994,14938.819,10443.543,13638.896,11208.845,,12718.675,,10460.875,14438.645,13065.018,13837.010,13317.980,,14176.442,14513.448,13755.144,14955.451,15266.485,14733.354,13948.814,15404.373,13652.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibiki,,14181.251,9843.026,12795.045,14549.499,13055.600,12794.521,12660.120,,,9811.450,9754.708,,12781.496,9008.041,,9840.068,10068.595,14428.105,,12624.672,14577.943,12908.350,10363.204,14151.962,12429.161,9358.058,13233.250,13236.342,9781.373,12541.218,13561.690,9750.208,,9156.314,9126.371,9642.371,14540.852,10521.942,13434.474,12683.929,12476.311,14352.656,13001.858,12364.935,13675.397,14256.981,,14214.993,9759.994,12815.315,14445.885,12497.570,13401.225,13526.543,14316.460,13929.517,,12711.538,,,10350.159,10349.607,14082.486,13873.703,13417.441,9620.845,10987.321,9604.926,9378.754,9375.253,9756.758,9550.408,8742.680,14451.850,13457.862,8472.090,,11289.891,14049.554,,13411.683,13450.552,13019.584,14242.409,9747.133,12942.486,10512.435,,12022.265,,9764.465,13742.235,12368.608,13140.600,12621.570,,13480.032,13817.038,13058.734,14259.041,14570.075,14036.944,13252.404,14707.963,12956.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Higashi-Ogishima,,13780.209,9441.984,12394.003,14148.457,12654.558,12393.479,12259.078,,,9410.408,9353.666,,12380.454,8606.999,,9439.026,9667.553,14027.063,,12223.630,14176.901,12507.308,9962.162,13750.920,12028.119,8957.016,12832.208,12835.300,9380.331,12140.176,13160.648,9349.166,,8755.272,8725.329,9241.329,14139.810,10120.900,13033.432,12282.887,12075.269,13951.614,12600.816,11963.893,13274.355,13855.939,,13813.951,9358.952,12414.273,14044.843,12096.528,13000.183,13125.501,13915.418,13528.475,,12310.496,,,9949.117,9948.565,13681.444,13472.661,13016.399,9219.803,10586.279,9203.884,8977.712,8974.211,9355.716,9149.366,8341.638,14050.808,13056.820,8071.048,,10888.849,13648.512,,13010.641,13049.510,12618.542,13841.367,9346.091,12541.444,10111.393,11409.629,11621.223,,9363.423,13341.193,11967.566,12739.558,12220.528,,13078.990,13415.996,12657.692,13857.999,14169.033,13635.902,12851.362,14306.921,12555.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himeji,,14085.482,9747.257,12699.276,14453.730,12959.831,12698.752,12564.351,,,9715.681,9658.939,,12685.727,8912.272,,9744.299,9972.826,14332.336,,12528.903,14482.174,12812.581,10267.435,14056.193,12333.392,9262.289,13137.481,13140.573,9685.604,12445.449,13465.921,9654.439,,9060.545,9030.602,9546.602,14445.083,10426.173,13338.705,12588.160,12380.542,14256.887,12906.089,12269.166,13579.628,14161.212,,14119.224,9664.225,12719.546,14350.116,12401.801,13305.456,13430.774,14220.691,13833.748,,12615.769,,,10254.390,10253.838,13986.717,13777.934,13321.672,9525.076,10891.552,9509.157,9282.985,9279.484,9660.989,9454.639,8646.911,14356.081,13362.093,8376.321,,11194.122,13953.785,,13315.914,13354.783,12923.815,14146.640,9651.364,12846.717,10416.666,,11926.496,,9668.696,13646.466,12272.839,13044.831,12525.801,,13384.263,13721.269,12962.965,14163.272,14474.306,13941.175,13156.635,14612.194,12860.630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitachi,,13645.469,9307.244,12259.263,14013.717,12519.818,12258.739,12124.338,,,9275.668,9218.926,,12245.714,8472.259,,9304.286,9532.813,13892.323,,12088.890,14042.161,12372.568,9827.422,13616.180,11893.379,8822.276,12697.468,12700.560,9245.591,12005.436,13025.908,9214.426,,8620.532,8590.589,9106.589,14005.070,9986.160,12898.692,12148.147,11940.529,13816.874,12466.076,11829.153,13139.615,13721.199,,13679.211,9224.212,12279.533,13910.103,11961.788,12865.443,12990.761,13780.678,13393.735,,12175.756,,,9814.377,9813.825,13546.704,13337.921,12881.659,9085.063,10451.539,9069.144,8842.972,8839.471,9220.976,9014.626,8206.898,13916.068,12922.080,7936.308,,10754.109,13513.772,,12875.901,12914.770,12483.802,13706.627,9211.351,12406.704,9976.653,11274.889,11486.483,,9228.683,13206.453,11832.826,12604.818,12085.788,,12944.250,13281.256,12522.952,13723.259,14034.293,13501.162,12716.622,14172.181,12420.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho Chi Min City,,,11834.942,,,,,,,,11803.366,11746.624,,,10999.957,,11831.984,12060.511,,,,,,12355.120,,,11349.974,,,11773.289,,,11742.124,,11148.230,11118.287,11634.287,,12513.858,,,,,,,,,,,11751.910,,,,,,,,,,,,12342.075,12341.523,,,,11612.761,,11596.842,11370.670,11367.169,11748.674,11542.324,10734.596,,,10464.006,,,,,,,,,11739.049,,12504.351,,,,11756.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyhead,5384.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13019.040,13360.264,12389.032,8226.694,7363.511,13220.545,13045.443,12585.083,12894.791,12258.987,12368.808,12767.285,11981.170,12003.315,12700.273,13360.264,12669.747,12264.645,12565.388,12133.965,13085.524,12055.691,13106.115,12285.603,12776.474,12390.342,9625.657,12672.308,8870.048,11813.479,12767.285,13187.776,6278.552,6634.820,12609.567,12786.220,12319.061,12285.603,12257.822,12228.995,12231.665,12260.487,12674.782,12544.711,5964.115,11833.789,8906.730,13082.558,13169.134,13339.252,7130.236,7387.237,12541.665,12601.625,12585.083,12542.256,12068.905,13149.279,12305.776,12329.269,12268.123,12077.864,7323.460,13360.264,13388.439,13388.439,12670.219,12271.634,12718.670,12352.549,12513.196,12697.951,12390.284,12259.558,13216.402,,,,,,,,,,,,,,13479.921,,,,,,,,,,,,,,11238.531,13195.762,13020.826,,,,12724.985,,,,,,,,,13429.469,,,13143.799,,,13172.303,
Huelva,5182.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12817.358,13158.582,12187.350,8025.012,7161.829,13018.863,12843.761,12383.401,12693.109,12057.305,12167.126,12565.603,11779.488,11801.633,12498.591,13158.582,12468.065,12062.963,12363.706,11932.283,12883.842,11854.009,12904.433,12083.921,12574.792,12188.660,9423.975,12470.626,8668.366,11611.797,12565.603,12986.094,6076.870,6433.138,12407.885,12584.538,12117.379,12083.921,12056.140,12027.313,12029.983,12058.805,12473.100,12343.029,5762.433,11632.107,8705.048,12880.876,12967.452,13137.570,6928.554,7185.555,12339.983,12399.943,12383.401,12340.574,11867.223,12947.597,12104.094,12127.587,12066.441,11876.182,7121.778,13158.582,13186.757,13186.757,12468.537,12069.952,12516.988,12150.867,12311.514,12496.269,12188.602,12057.876,13014.720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12819.144,,,,,,,,,,,,,,,,12942.117,,,,
Ichthys,,,11133.001,,,,,,,,11101.425,11044.683,,,10298.016,,11130.043,11358.570,,,,,,11653.179,,,10648.033,,,11071.348,,,11040.183,,10446.289,10416.346,10932.346,,11811.917,,,,,,,,,,,11049.969,,,,,,,,,,,,11640.134,11639.582,,,,10910.820,,10894.901,10668.729,10665.228,11046.733,10840.383,10032.655,,,9762.065,,12579.866,,,,,,,11037.108,,11802.410,,,,11054.440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
